id_amat;id_via;anagrafica;gerarchia;rete;tipologia;sede;marcia;norma;fine_lavor;lunghezza;LONG_X_4326_CENTROID;LAT_Y_4326_CENTROID;Location
1;"1064";PIAZZA VENTICINQUE APRILE;;urbana;promiscuo pedoni;attraversamento;bidirezionale;attraversamento - generico;"0";"8";9.1870305186785;45.4809876471498;"(45.48098764714976, 9.187030518678496)"
2;"3377";VIA GIACOMO MEDICI DEL VASCELLO;;ciclabile;ciclabile sede propria;marciapiede;monodirezionale - concorde;ordinanza lavori stradali;"2019";"7";9.24194464907128;45.4392715546864;"(45.43927155468637, 9.241944649071282)"
3;"3377";VIA GIACOMO MEDICI DEL VASCELLO;;ciclabile;ciclabile sede propria;marciapiede;monodirezionale - concorde;ordinanza lavori stradali;"2019";"8";9.23995617266987;45.4400199268851;"(45.440019926885114, 9.239956172669872)"
4;"3377";VIA GIACOMO MEDICI DEL VASCELLO;;ciclabile;ciclabile sede propria;marciapiede;monodirezionale - concorde;ordinanza lavori stradali;"2019";"5";9.23918713129894;45.442769857648;"(45.442769857648024, 9.239187131298943)"
5;"3377";VIA GIACOMO MEDICI DEL VASCELLO;;ciclabile;ciclabile sede propria;marciapiede;monodirezionale - concorde;ordinanza lavori stradali;"2019";"3";9.23998716620631;45.4400362237505;"(45.44003622375051, 9.239987166206312)"
6;"1360";VIALE MARCHE;;ciclabile;ciclabile segnaletica;carreggiata;monodirezionale - concorde;corsia ciclabile;"2013";"18";9.1976842242398;45.4948586428903;"(45.4948586428903, 9.197684224239802)"
9;"4068";CORSO LODI;;urbana;promiscuo veicoli;carreggiata;monodirezionale - concorde;FACILITAZIONE - Z30;"0";"297";9.2048372915339;45.4507560352345;"(45.45075603523454, 9.204837291533904)"
11;"5144";ALZAIA NAVIGLIO GRANDE;;urbana;promiscuo pedoni;carreggiata;bidirezionale;FACILITAZIONE - area pedonale;"1996";"31";9.16836622631264;45.450564438617;"(45.450564438616965, 9.168366226312635)"
12;"1414";VIA TOFANE;;urbana;promiscuo veicoli;carreggiata;bidirezionale;FACILITAZIONE - divieto di transito ecc. bici;"1990";"33";9.22174169870529;45.5035303053791;"(45.50353030537905, 9.221741698705285)"
13;"2153";VIA LAZZARO SPALLANZANI;;urbana;promiscuo pedoni;carreggiata;bidirezionale;FACILITAZIONE - area pedonale;"2003";"172";9.20633204495567;45.4752866869338;"(45.47528668693378, 9.206332044955673)"
16;"1";PIAZZA DEL DUOMO;;urbana;promiscuo pedoni;carreggiata;bidirezionale;FACILITAZIONE - area pedonale;"1996";"329";9.19065141656756;45.4647133789271;"(45.46471337892707, 9.190651416567562)"
18;"598";VIA DEI MERCANTI;;urbana;promiscuo pedoni;carreggiata;bidirezionale;FACILITAZIONE - area pedonale;"1996";"153";9.18768843285321;45.4650517451937;"(45.465051745193676, 9.187688432853207)"
19;"541";CORSO DI PORTA TICINESE;;urbana;promiscuo pedoni;carreggiata;bidirezionale;FACILITAZIONE - area pedonale;"0";"135";9.18105434071255;45.4580790854533;"(45.45807908545326, 9.181054340712548)"
20;"612";VIA DANTE;;urbana;promiscuo pedoni;carreggiata;bidirezionale;FACILITAZIONE - area pedonale;"1996";"286";9.18388741679207;45.4669888154506;"(45.46698881545061, 9.183887416792071)"
21;"122";VIA BRERA;;urbana;promiscuo pedoni;carreggiata;bidirezionale;FACILITAZIONE - area pedonale;"2011";"189";9.18762168114415;45.4714448946268;"(45.47144489462685, 9.187621681144153)"
22;"122";VIA BRERA;;urbana;promiscuo pedoni;carreggiata;bidirezionale;FACILITAZIONE - area pedonale;"1996";"24";9.18741533416874;45.4727508499316;"(45.47275084993155, 9.187415334168742)"
23;"5188";VIA SANTA CROCE;;urbana;promiscuo pedoni;carreggiata;bidirezionale;FACILITAZIONE - area pedonale;"2010";"298";9.18244234125301;45.4542663082514;"(45.45426630825139, 9.182442341253012)"
24;"5186";PIAZZA SANT'EUSTORGIO;;urbana;promiscuo pedoni;carreggiata;bidirezionale;FACILITAZIONE - area pedonale;"2010";"62";9.18070183063067;45.4533755764977;"(45.45337557649769, 9.180701830630674)"
25;"2153";VIA LAZZARO SPALLANZANI;;urbana;promiscuo pedoni;carreggiata;bidirezionale;FACILITAZIONE - area pedonale;"2003";"61";9.20742270859586;45.4759841231161;"(45.47598412311612, 9.207422708595855)"
26;"1088";VIALE ENRICO FERMI;;urbana;promiscuo pedoni;attraversamento;bidirezionale;attraversamento - generico;"0";"36";9.17937576887408;45.5140990626971;"(45.51409906269707, 9.179375768874081)"
27;"6567";VIALE MAR JONIO;;urbana;promiscuo veicoli;carreggiata;monodirezionale - concorde;FACILITAZIONE - Z30;"2002";"286";9.13734389470754;45.473881220479;"(45.473881220479015, 9.13734389470754)"
28;"6567";VIALE MAR JONIO;;urbana;promiscuo veicoli;carreggiata;monodirezionale - concorde;FACILITAZIONE - Z30;"2002";"287";9.13778593799623;45.4738646527422;"(45.473864652742236, 9.137785937996227)"
29;"6566";PIAZZALE SELINUNTE;;urbana;promiscuo veicoli;carreggiata;monodirezionale - concorde;FACILITAZIONE - Z30;"2008";"361";9.13743108379351;45.4721133140096;"(45.472113314009555, 9.137431083793514)"
32;"6457";VIA ANGELO SALMOIRAGHI;;urbana;promiscuo veicoli;carreggiata;monodirezionale - concorde;FACILITAZIONE - Z30;"2006";"281";9.14075729925709;45.4841353925077;"(45.484135392507675, 9.14075729925709)"
36;"122";VIA BRERA;;urbana;promiscuo pedoni;carreggiata;bidirezionale;FACILITAZIONE - area pedonale;"1996";"40";9.18747330242291;45.4724667643332;"(45.47246676433318, 9.187473302422905)"
40;"118";VIA MONTE DI PIETA';;urbana;promiscuo veicoli;carreggiata;bidirezionale;FACILITAZIONE - Z30;"0";"219";9.18898122461619;45.4682294584147;"(45.46822945841472, 9.188981224616189)"
47;"4158";PIAZZALE FERRARA;;urbana;promiscuo veicoli;carreggiata;monodirezionale - concorde;FACILITAZIONE - Z30;"2011";"42";9.2200509432952;45.4381267742179;"(45.43812677421788, 9.220050943295195)"
48;"4279";VIA COMACCHIO;;urbana;promiscuo veicoli;carreggiata;monodirezionale - concorde;FACILITAZIONE - Z30;"2011";"111";9.21865792448432;45.4374886092882;"(45.437488609288216, 9.218657924484319)"
49;"4158";PIAZZALE FERRARA;;urbana;promiscuo veicoli;carreggiata;monodirezionale - concorde;FACILITAZIONE - Z30;"2011";"53";9.21953482593094;45.4378954396167;"(45.43789543961671, 9.219534825930937)"
57;"7456";VIA GIORGIO STEPHENSON;;urbana;promiscuo pedoni;sottopasso;bidirezionale;ordinanza lavori stradali;"2015";"276";9.12736089361588;45.5110753293324;"(45.51107532933245, 9.127360893615885)"
