AnnoScol;Tipologia di Gestione;Unita Scol;Alunni;IdQuartiere;Quartiere
2023/2024;Comunale;1;55;10;Stazione Centrale - Ponte Seveso
2023/2024;Comunale;2;239;11;Isola
2023/2024;Comunale;5;436;12;Maciachini - Maggiolina
2023/2024;Comunale;1;162;13;Greco - Segnano
2023/2024;Comunale;5;623;14;Niguarda - Ca? Granda - Prato Centenaro - Q.re Fulvio Testi
2023/2024;Comunale;4;430;16;Gorla - Precotto
2023/2024;Comunale;4;329;17;Adriano
2023/2024;Comunale;4;395;18;Cimiano - Rottole - Q.re Feltre
2023/2024;Comunale;2;219;19;Padova - Turro - Crescenzago
2023/2024;Comunale;3;508;20;Loreto - Casoretto - NoLo
2023/2024;Comunale;6;780;21;Buenos Aires - Porta Venezia - Porta Monforte
2023/2024;Comunale;5;568;22;Citta' studi
2023/2024;Comunale;2;305;23;Lambrate - Ortica
2023/2024;Comunale;3;234;25;Corsica
2023/2024;Comunale;3;518;26;XXII Marzo
2023/2024;Comunale;1;164;27;Pta Romana
2023/2024;Comunale;1;111;28;Umbria - Molise - Calvairate
2023/2024;Comunale;1;115;29;Ortomercato
2023/2024;Comunale;4;418;30;Taliedo - Morsenchio - Q.re Forlanini
2023/2024;Comunale;1;97;31;Monlue' - Ponte Lambro
2023/2024;Comunale;2;214;33;Rogoredo - Santa Giulia
2023/2024;Comunale;6;663;35;Lodi - Corvetto
2023/2024;Comunale;1;53;37;Morivione
2023/2024;Comunale;2;257;38;Vigentino - Q.re Fatima
2023/2024;Comunale;2;268;41;Gratosoglio - Q.re Missaglia - Q.re Terrazze
2023/2024;Comunale;4;399;42;Stadera - Chiesa Rossa - Q.re Torretta - Conca Fallata
2023/2024;Comunale;2;187;44;Porta Ticinese - Conchetta
2023/2024;Comunale;3;289;45;Moncucco - San Cristoforo
2023/2024;Comunale;2;134;46;Barona
2023/2024;Comunale;3;272;48;Ronchetto sul Naviglio - Q.re Lodovico il Moro
2023/2024;Comunale;2;243;49;Giambellino
2023/2024;Comunale;3;386;50;Porta Genova
2023/2024;Comunale;2;184;51;Porta Magenta
2023/2024;Comunale;6;600;52;Bande Nere
2023/2024;Comunale;3;342;53;Lorenteggio
2023/2024;Comunale;6;450;55;Baggio - Q.re degli Olmi - Q.re Valsesia
2023/2024;Comunale;5;559;56;Forze Armate
2023/2024;Comunale;1;154;58;De Angeli - Monte Rosa
2023/2024;Comunale;3;390;60;Stadio - Ippodromi
2023/2024;Comunale;1;48;63;Figino
2023/2024;Comunale;1;100;64;Trenno
2023/2024;Comunale;5;459;65;Q.re Gallaratese - Q.re San Leonardo - Lampugnano
2023/2024;Comunale;2;131;66;QT 8
2023/2024;Comunale;1;150;67;Portello
2023/2024;Comunale;2;406;68;Pagano
2023/2024;Comunale;2;434;69;Sarpi
2023/2024;Comunale;7;795;71;Villapizzone - Cagnola - Boldinasco
2023/2024;Comunale;5;507;76;Quarto Oggiaro - Vialba - Musocco
2023/2024;Comunale;2;227;77;Bovisa
2023/2024;Comunale;2;278;79;Dergano
2023/2024;Comunale;2;196;80;Affori
2023/2024;Comunale;2;122;81;Bovisasca
2023/2024;Comunale;1;92;82;Comasina
