AnnoScol;Tipologia di Gestione;Unita Scol;Alunni;IdQuartiere;Quartiere
2023/2024;Privata paritaria;2;172;56;Forze Armate
2023/2024;Privata paritaria;1;247;57;San Siro
2023/2024;Privata paritaria;2;236;58;De Angeli - Monte Rosa
2023/2024;Privata paritaria;2;268;60;Stadio - Ippodromi
2023/2024;Privata paritaria;1;50;63;Figino
2023/2024;Privata paritaria;1;55;66;QT 8
2023/2024;Privata paritaria;1;321;67;Portello
2023/2024;Privata paritaria;1;388;68;Pagano
2023/2024;Privata paritaria;1;168;69;Sarpi
2023/2024;Privata paritaria;1;82;70;Ghisolfa
2023/2024;Privata paritaria;2;189;71;Villapizzone - Cagnola - Boldinasco
2023/2024;Privata paritaria;1;125;72;Maggiore - Musocco - Certosa
2023/2024;Privata paritaria;1;238;77;Bovisa
2023/2024;Privata paritaria;1;269;79;Dergano
2023/2024;Privata paritaria;1;207;82;Comasina
2023/2024;Privata paritaria;1;94;84;Parco Nord
2023/2024;Privata non paritaria;2;427;2;Brera
2023/2024;Privata non paritaria;1;170;10;Stazione Centrale - Ponte Seveso
2023/2024;Privata non paritaria;1;255;18;Cimiano - Rottole - Q.re Feltre
2023/2024;Privata non paritaria;1;121;20;Loreto - Casoretto - NoLo
2023/2024;Privata non paritaria;1;223;25;Corsica
2023/2024;Privata non paritaria;1;103;45;Moncucco - San Cristoforo
2023/2024;Privata non paritaria;1;184;49;Giambellino
2023/2024;Privata non paritaria;2;536;60;Stadio - Ippodromi
2023/2024;statale;3;728;1;Duomo
2023/2024;statale;2;461;2;Brera
2023/2024;statale;2;603;4;Guastalla
2023/2024;statale;2;759;5;Porta Vigentina - Porta Lodovica
2023/2024;statale;2;551;6;Porta Ticinese - Conca del Naviglio
2023/2024;statale;3;769;7;Magenta - S.Vittore
2023/2024;statale;1;185;10;Stazione Centrale - Ponte Seveso
2023/2024;statale;1;414;11;Isola
2023/2024;statale;3;1047;12;Maciachini - Maggiolina
2023/2024;statale;2;554;13;Greco - Segnano
2023/2024;statale;4;1201;14;Niguarda - Ca? Granda - Prato Centenaro - Q.re Fulvio Testi
2023/2024;statale;6;1374;16;Gorla - Precotto
2023/2024;statale;1;457;17;Adriano
2023/2024;statale;2;685;18;Cimiano - Rottole - Q.re Feltre
2023/2024;statale;2;625;19;Padova - Turro - Crescenzago
2023/2024;statale;3;1172;20;Loreto - Casoretto - NoLo
2023/2024;statale;4;1575;21;Buenos Aires - Porta Venezia - Porta Monforte
2023/2024;statale;5;1736;22;Citta' studi
2023/2024;statale;2;439;23;Lambrate - Ortica
2023/2024;statale;1;323;25;Corsica
2023/2024;statale;2;900;26;XXII Marzo
2023/2024;statale;2;653;27;Pta Romana
2023/2024;statale;1;279;29;Ortomercato
2023/2024;statale;4;862;30;Taliedo - Morsenchio - Q.re Forlanini
2023/2024;statale;1;189;31;Monlue' - Ponte Lambro
2023/2024;statale;1;354;33;Rogoredo - Santa Giulia
2023/2024;statale;5;1477;35;Lodi - Corvetto
2023/2024;statale;2;241;37;Morivione
2023/2024;statale;1;513;38;Vigentino - Q.re Fatima
2023/2024;statale;3;790;41;Gratosoglio - Q.re Missaglia - Q.re Terrazze
2023/2024;statale;3;869;42;Stadera - Chiesa Rossa - Q.re Torretta - Conca Fallata
2023/2024;statale;1;280;44;Porta Ticinese - Conchetta
2023/2024;statale;1;482;45;Moncucco - San Cristoforo
2023/2024;statale;3;443;46;Barona
2023/2024;statale;3;713;48;Ronchetto sul Naviglio - Q.re Lodovico il Moro
2023/2024;statale;1;373;49;Giambellino
2023/2024;statale;2;697;50;Porta Genova
2023/2024;statale;1;833;51;Porta Magenta
2023/2024;statale;3;951;52;Bande Nere
2023/2024;statale;3;797;53;Lorenteggio
2023/2024;statale;1;80;54;Muggiano
2023/2024;statale;3;1030;55;Baggio - Q.re degli Olmi - Q.re Valsesia
2023/2024;statale;5;1613;56;Forze Armate
2023/2024;statale;1;488;57;San Siro
2023/2024;statale;4;582;60;Stadio - Ippodromi
2023/2024;statale;1;265;61;Quarto Cagnino
2023/2024;statale;1;116;62;Quinto Romano
2023/2024;statale;1;101;63;Figino
2023/2024;statale;6;1390;65;Q.re Gallaratese - Q.re San Leonardo - Lampugnano
2023/2024;statale;1;189;66;QT 8
2023/2024;statale;1;636;67;Portello
2023/2024;statale;1;467;68;Pagano
2023/2024;statale;3;1172;69;Sarpi
2023/2024;statale;4;1470;71;Villapizzone - Cagnola - Boldinasco
2023/2024;statale;2;337;72;Maggiore - Musocco - Certosa
2023/2024;statale;4;1062;76;Quarto Oggiaro - Vialba - Musocco
2023/2024;statale;1;391;78;Farini
2023/2024;statale;2;589;79;Dergano
2023/2024;statale;3;957;80;Affori
2023/2024;statale;1;220;81;Bovisasca
2023/2024;statale;1;167;82;Comasina
2023/2024;statale;2;576;83;Bruzzano
2021/2022;Privata paritaria;2;272;60;Stadio - Ippodromi
2021/2022;Privata paritaria;1;54;63;Figino
2021/2022;Privata paritaria;1;61;66;QT 8
2021/2022;Privata paritaria;1;291;67;Portello
2021/2022;Privata paritaria;1;363;68;Pagano
2021/2022;Privata paritaria;1;171;69;Sarpi
2021/2022;Privata paritaria;3;303;71;Villapizzone - Cagnola - Boldinasco
2021/2022;Privata paritaria;1;102;72;Maggiore - Musocco - Certosa
2021/2022;Privata paritaria;1;243;77;Bovisa
2021/2022;Privata paritaria;1;267;79;Dergano
2021/2022;Privata paritaria;1;220;82;Comasina
2021/2022;Privata paritaria;1;87;84;Parco Nord
2021/2022;Privata non paritaria;2;465;2;Brera
2021/2022;Privata non paritaria;1;135;10;Stazione Centrale - Ponte Seveso
2021/2022;Privata non paritaria;1;257;18;Cimiano - Rottole - Q.re Feltre
2021/2022;Privata non paritaria;1;108;20;Loreto - Casoretto - NoLo
2021/2022;Privata non paritaria;1;241;25;Corsica
2021/2022;Privata non paritaria;1;83;45;Moncucco - San Cristoforo
2021/2022;Privata non paritaria;2;572;60;Stadio - Ippodromi
2021/2022;statale;3;756;1;Duomo
2021/2022;statale;2;522;2;Brera
2021/2022;statale;2;582;4;Guastalla
2021/2022;statale;2;824;5;Porta Vigentina - Porta Lodovica
