AnnoScol;Tipologia di Gestione;Unita Scol;Alunni;IdQuartiere;Quartiere
2023/2024;statale;2;665;7;Magenta - S.Vittore
2023/2024;Privata paritaria;2;591;7;Magenta - S.Vittore
2023/2024;statale;1;221;9;Porta Garibaldi - Porta Nuova
2023/2024;Privata non paritaria;1;59;10;Stazione Centrale - Ponte Seveso
2023/2024;Privata paritaria;1;358;10;Stazione Centrale - Ponte Seveso
2023/2024;statale;1;178;11;Isola
2023/2024;Privata paritaria;1;185;11;Isola
2023/2024;statale;2;623;12;Maciachini - Maggiolina
2023/2024;statale;2;413;13;Greco - Segnano
2023/2024;statale;3;808;14;Niguarda - Ca? Granda - Prato Centenaro - Q.re Fulvio Testi
2023/2024;Privata paritaria;1;156;14;Niguarda - Ca? Granda - Prato Centenaro - Q.re Fulvio Testi
2023/2024;statale;2;609;16;Gorla - Precotto
2023/2024;statale;1;375;17;Adriano
2023/2024;statale;1;362;18;Cimiano - Rottole - Q.re Feltre
2023/2024;Privata non paritaria;1;173;18;Cimiano - Rottole - Q.re Feltre
2023/2024;Privata paritaria;1;14;18;Cimiano - Rottole - Q.re Feltre
2023/2024;statale;2;308;19;Padova - Turro - Crescenzago
2023/2024;Privata paritaria;2;263;19;Padova - Turro - Crescenzago
2023/2024;statale;2;690;20;Loreto - Casoretto - NoLo
2023/2024;Privata non paritaria;1;90;20;Loreto - Casoretto - NoLo
2023/2024;statale;5;2203;21;Buenos Aires - Porta Venezia - Porta Monforte
2023/2024;Privata paritaria;1;223;21;Buenos Aires - Porta Venezia - Porta Monforte
2023/2024;statale;1;447;22;Citta' studi
2023/2024;Privata paritaria;4;420;22;Citta' studi
2023/2024;Privata paritaria;2;318;23;Lambrate - Ortica
2023/2024;statale;2;577;25;Corsica
2023/2024;Privata paritaria;1;135;25;Corsica
2023/2024;statale;2;714;26;XXII Marzo
2023/2024;Privata paritaria;1;157;26;XXII Marzo
2023/2024;Privata paritaria;1;59;27;Pta Romana
2023/2024;statale;1;158;29;Ortomercato
2023/2024;statale;2;395;30;Taliedo - Morsenchio - Q.re Forlanini
2023/2024;statale;1;417;33;Rogoredo - Santa Giulia
2023/2024;statale;2;584;35;Lodi - Corvetto
2023/2024;Privata non paritaria;1;126;35;Lodi - Corvetto
2023/2024;Privata paritaria;1;268;35;Lodi - Corvetto
2023/2024;Privata paritaria;1;140;36;Scalo Romana
2023/2024;statale;1;182;37;Morivione
2023/2024;Privata non paritaria;1;26;37;Morivione
2023/2024;statale;1;399;38;Vigentino - Q.re Fatima
2023/2024;statale;1;439;41;Gratosoglio - Q.re Missaglia - Q.re Terrazze
2023/2024;statale;2;574;42;Stadera - Chiesa Rossa - Q.re Torretta - Conca Fallata
2023/2024;Privata paritaria;2;376;43;Tibaldi
2023/2024;statale;1;185;45;Moncucco - San Cristoforo
2023/2024;Privata non paritaria;1;53;45;Moncucco - San Cristoforo
2023/2024;statale;1;189;46;Barona
2023/2024;statale;3;503;48;Ronchetto sul Naviglio - Q.re Lodovico il Moro
2023/2024;Privata paritaria;1;139;48;Ronchetto sul Naviglio - Q.re Lodovico il Moro
2023/2024;statale;1;297;49;Giambellino
2023/2024;Privata non paritaria;1;108;49;Giambellino
2023/2024;Privata paritaria;1;111;49;Giambellino
2023/2024;statale;1;647;50;Porta Genova
2023/2024;statale;1;437;51;Porta Magenta
2023/2024;Privata paritaria;1;18;51;Porta Magenta
2023/2024;statale;4;1309;52;Bande Nere
2023/2024;Privata paritaria;1;87;52;Bande Nere
2023/2024;statale;1;190;53;Lorenteggio
2023/2024;Privata paritaria;1;323;53;Lorenteggio
2023/2024;statale;2;784;55;Baggio - Q.re degli Olmi - Q.re Valsesia
2023/2024;statale;1;427;56;Forze Armate
2023/2024;Privata paritaria;2;103;56;Forze Armate
2023/2024;Privata paritaria;1;192;57;San Siro
2023/2024;statale;2;981;58;De Angeli - Monte Rosa
2023/2024;Privata paritaria;1;116;58;De Angeli - Monte Rosa
2023/2024;statale;1;310;60;Stadio - Ippodromi
2023/2024;Privata non paritaria;2;322;60;Stadio - Ippodromi
2023/2024;statale;1;447;61;Quarto Cagnino
2023/2024;Privata paritaria;1;37;63;Figino
2023/2024;statale;3;863;65;Q.re Gallaratese - Q.re San Leonardo - Lampugnano
2023/2024;statale;1;255;66;QT 8
2023/2024;Privata non paritaria;1;131;67;Portello
2023/2024;statale;1;415;68;Pagano
2023/2024;Privata paritaria;1;380;68;Pagano
2023/2024;statale;3;734;69;Sarpi
2023/2024;Privata paritaria;1;165;70;Ghisolfa
2023/2024;statale;3;1030;71;Villapizzone - Cagnola - Boldinasco
2023/2024;statale;1;209;72;Maggiore - Musocco - Certosa
2023/2024;statale;2;589;76;Quarto Oggiaro - Vialba - Musocco
2023/2024;Privata paritaria;1;150;77;Bovisa
2023/2024;statale;2;606;79;Dergano
2023/2024;Privata paritaria;1;344;79;Dergano
2023/2024;statale;2;611;80;Affori
2023/2024;statale;1;124;81;Bovisasca
2023/2024;statale;1;97;82;Comasina
2023/2024;Privata paritaria;1;125;82;Comasina
2023/2024;statale;1;318;83;Bruzzano
2023/2024;Privata paritaria;1;74;84;Parco Nord
2021/2022;Privata paritaria;1;158;26;XXII Marzo
2021/2022;Privata paritaria;1;83;27;Pta Romana
2021/2022;statale;1;166;29;Ortomercato
2021/2022;statale;2;453;30;Taliedo - Morsenchio - Q.re Forlanini
2021/2022;statale;1;373;33;Rogoredo - Santa Giulia
2021/2022;statale;2;676;35;Lodi - Corvetto
2021/2022;Privata non paritaria;1;146;35;Lodi - Corvetto
2021/2022;Privata paritaria;1;238;35;Lodi - Corvetto
2021/2022;Privata paritaria;1;105;36;Scalo Romana
2021/2022;statale;1;201;37;Morivione
2021/2022;statale;1;391;38;Vigentino - Q.re Fatima
2021/2022;statale;1;457;41;Gratosoglio - Q.re Missaglia - Q.re Terrazze
2021/2022;statale;2;630;42;Stadera - Chiesa Rossa - Q.re Torretta - Conca Fallata
2021/2022;Privata paritaria;1;103;42;Stadera - Chiesa Rossa - Q.re Torretta - Conca Fallata
2021/2022;Privata paritaria;1;268;43;Tibaldi
2021/2022;statale;1;149;45;Moncucco - San Cristoforo
2021/2022;Privata non paritaria;1;53;45;Moncucco - San Cristoforo
2021/2022;statale;1;177;46;Barona
2021/2022;statale;3;525;48;Ronchetto sul Naviglio - Q.re Lodovico il Moro
2021/2022;Privata paritaria;1;86;48;Ronchetto sul Naviglio - Q.re Lodovico il Moro
2021/2022;statale;1;310;49;Giambellino
2021/2022;Privata paritaria;1;103;49;Giambellino
2021/2022;statale;2;1111;51;Porta Magenta
2021/2022;Privata paritaria;1;21;51;Porta Magenta
2021/2022;statale;4;1442;52;Bande Nere
2021/2022;Privata paritaria;2;122;52;Bande Nere
2021/2022;statale;1;266;53;Lorenteggio
2021/2022;Privata paritaria;1;300;53;Lorenteggio
2021/2022;statale;2;829;55;Baggio - Q.re degli Olmi - Q.re Valsesia
2021/2022;statale;1;393;56;Forze Armate
2021/2022;Privata paritaria;1;70;56;Forze Armate
2021/2022;Privata paritaria;1;149;57;San Siro
2021/2022;statale;2;996;58;De Angeli - Monte Rosa
2021/2022;Privata paritaria;1;131;58;De Angeli - Monte Rosa
2021/2022;statale;1;266;60;Stadio - Ippodromi
2021/2022;Privata non paritaria;2;321;60;Stadio - Ippodromi
2021/2022;statale;1;471;61;Quarto Cagnino
2021/2022;Privata paritaria;1;36;63;Figino
2021/2022;statale;3;890;65;Q.re Gallaratese - Q.re San Leonardo - Lampugnano
2021/2022;statale;1;298;66;QT 8
2021/2022;Privata non paritaria;1;118;67;Portello
2021/2022;statale;1;420;68;Pagano
2021/2022;Privata paritaria;1;391;68;Pagano
2021/2022;statale;3;745;69;Sarpi
2021/2022;Privata paritaria;1;166;70;Ghisolfa
2021/2022;statale;3;1022;71;Villapizzone - Cagnola - Boldinasco
2021/2022;statale;1;157;72;Maggiore - Musocco - Certosa
2021/2022;statale;2;598;76;Quarto Oggiaro - Vialba - Musocco
2021/2022;Privata paritaria;1;143;77;Bovisa
2021/2022;statale;2;643;79;Dergano
2021/2022;Privata paritaria;1;329;79;Dergano
2021/2022;statale;2;659;80;Affori
2021/2022;statale;1;137;81;Bovisasca
2021/2022;statale;1;101;82;Comasina
2021/2022;Privata paritaria;1;149;82;Comasina
2021/2022;statale;1;330;83;Bruzzano
