Anno Scolastico;IdNIL;Nil;Totale Iscritti;Iscritti Italiani;Iscritti Stranieri;N D
2023/2024;32;Triulzo Superiore;;;;
2023/2024;33;Rogoredo - Santa Giulia;214;161;52;1
2023/2024;34;Chiaravalle;;;;
2023/2024;35;Lodi - Corvetto;871;569;297;5
2023/2024;36;Scalo Romana;62;53;9;
2023/2024;37;Morivione;105;84;21;
2023/2024;38;Vigentino - Q.re Fatima;368;288;78;2
2023/2024;39;Quintosole;;;;
2023/2024;40;Ronchetto delle Rane;;;;
2023/2024;41;Gratosoglio - Q.re Missaglia - Q.re Terrazze;268;185;80;3
2023/2024;42;Stadera - Chiesa Rossa - Q.re Torretta - Conca Fallata;515;374;136;5
2023/2024;43;Tibaldi;240;232;8;
2023/2024;44;Porta Ticinese - Conchetta;240;223;17;
2023/2024;45;Moncucco - San Cristoforo;326;289;35;2
2023/2024;46;Barona;218;119;98;1
2023/2024;47;Cantalupa;;;;
2023/2024;48;Ronchetto sul Naviglio - Q.re Lodovico il Moro;338;276;62;
2023/2024;49;Giambellino;380;216;159;5
2023/2024;50;Porta Genova;386;354;32;
2023/2024;51;Porta Magenta;294;272;21;1
2023/2024;52;Bande Nere;894;684;208;2
2023/2024;53;Lorenteggio;509;370;137;2
2023/2024;54;Muggiano;20;16;4;
2023/2024;55;Baggio - Q.re degli Olmi - Q.re Valsesia;530;336;185;9
2023/2024;56;Forze Armate;639;437;192;10
2023/2024;57;San Siro;248;175;72;1
2023/2024;58;De Angeli - Monte Rosa;241;226;15;
2023/2024;59;Tre Torri;;;;
2023/2024;60;Stadio - Ippodromi;799;421;370;8
2023/2024;61;Quarto Cagnino;209;168;39;2
2023/2024;62;Quinto Romano;52;29;23;
2023/2024;63;Figino;60;39;21;
2023/2024;64;Trenno;137;126;11;
2023/2024;65;Q.re Gallaratese - Q.re San Leonardo - Lampugnano;520;423;93;4
2023/2024;66;QT 8;176;151;21;4
2023/2024;67;Portello;378;340;38;
2023/2024;68;Pagano;449;423;25;1
2023/2024;69;Sarpi;570;496;73;1
2023/2024;70;Ghisolfa;33;30;3;
2023/2024;71;Villapizzone - Cagnola - Boldinasco;880;546;331;3
2023/2024;72;Maggiore - Musocco - Certosa;208;149;57;2
2023/2024;73;Cascina Merlata;;;;
2023/2024;74;Roserio;;;;
2023/2024;75;Stephenson;;;;
2023/2024;76;Quarto Oggiaro - Vialba - Musocco;570;303;260;7
2023/2024;77;Bovisa;318;230;86;2
2023/2024;78;Farini;;;;
2023/2024;79;Dergano;394;254;134;6
2023/2024;80;Affori;470;324;143;3
2023/2024;81;Bovisasca;208;127;78;3
2023/2024;82;Comasina;198;95;102;1
2023/2024;83;Bruzzano;260;173;86;1
2023/2024;84;Parco Nord;38;35;3;
2023/2024;85;Parco delle Abbazie;;;;
2023/2024;86;Parco dei Navigli;;;;
2023/2024;87;Assiano;;;;
2023/2024;88;Parco Bosco in citta';;;;
2005/2006;1;Duomo;416;366;50;
2005/2006;2;Brera;659;589;70;
2005/2006;3;Giardini P.ta Venezia;152;135;17;
2005/2006;4;Guastalla;506;467;37;2
2005/2006;5;Porta Vigentina - Porta Lodovica;554;505;49;
2005/2006;6;Porta Ticinese - Conca del Naviglio;675;586;89;
2005/2006;7;Magenta - S.Vittore;701;660;41;
2005/2006;8;Parco Sempione;;;;
2005/2006;9;Porta Garibaldi - Porta Nuova;71;63;8;
2005/2006;10;Stazione Centrale - Ponte Seveso;200;176;23;1
2005/2006;11;Isola;381;310;70;1
2005/2006;12;Maciachini - Maggiolina;763;604;151;8
2005/2006;13;Greco - Segnano;236;193;43;
2005/2006;14;Niguarda - Ca? Granda - Prato Centenaro - Q.re Fulvio Testi;1060;928;123;9
2005/2006;15;Bicocca;;;;
2005/2006;16;Gorla - Precotto;840;644;179;17
2005/2006;17;Adriano;278;224;54;
2005/2006;18;Cimiano - Rottole - Q.re Feltre;675;541;134;
2005/2006;19;Padova - Turro - Crescenzago;549;421;120;8
2005/2006;20;Loreto - Casoretto - NoLo;798;528;269;1
