Anno Scolastico;IdNIL;Nil;Totale Iscritti;Iscritti Italiani;Iscritti Stranieri;N D
2023/2024;32;Triulzo Superiore;;;;
2023/2024;33;Rogoredo - Santa Giulia;354;231;123;
2023/2024;34;Chiaravalle;;;;
2023/2024;35;Lodi - Corvetto;1952;1228;713;11
2023/2024;36;Scalo Romana;261;210;51;
2023/2024;37;Morivione;311;203;108;
2023/2024;38;Vigentino - Q.re Fatima;513;435;75;3
2023/2024;39;Quintosole;;;;
2023/2024;40;Ronchetto delle Rane;;;;
2023/2024;41;Gratosoglio - Q.re Missaglia - Q.re Terrazze;790;516;272;2
2023/2024;42;Stadera - Chiesa Rossa - Q.re Torretta - Conca Fallata;959;709;247;3
2023/2024;43;Tibaldi;442;429;12;1
2023/2024;44;Porta Ticinese - Conchetta;280;241;39;
2023/2024;45;Moncucco - San Cristoforo;585;479;105;1
2023/2024;46;Barona;443;240;202;1
2023/2024;47;Cantalupa;;;;
2023/2024;48;Ronchetto sul Naviglio - Q.re Lodovico il Moro;983;778;204;1
2023/2024;49;Giambellino;710;342;363;5
2023/2024;50;Porta Genova;697;622;73;2
2023/2024;51;Porta Magenta;965;904;60;1
2023/2024;52;Bande Nere;1100;852;246;2
2023/2024;53;Lorenteggio;1112;811;297;4
2023/2024;54;Muggiano;80;73;7;
2023/2024;55;Baggio - Q.re degli Olmi - Q.re Valsesia;1030;594;432;4
2023/2024;56;Forze Armate;1785;1302;479;4
2023/2024;57;San Siro;735;365;368;2
2023/2024;58;De Angeli - Monte Rosa;236;226;10;
2023/2024;59;Tre Torri;;;;
2023/2024;60;Stadio - Ippodromi;1386;751;630;5
2023/2024;61;Quarto Cagnino;265;204;61;
2023/2024;62;Quinto Romano;116;68;48;
2023/2024;63;Figino;151;91;60;
2023/2024;64;Trenno;;;;
2023/2024;65;Q.re Gallaratese - Q.re San Leonardo - Lampugnano;1390;1147;241;2
2023/2024;66;QT 8;244;201;42;1
2023/2024;67;Portello;957;858;99;
2023/2024;68;Pagano;855;806;49;
2023/2024;69;Sarpi;1340;1138;199;3
2023/2024;70;Ghisolfa;82;79;3;
2023/2024;71;Villapizzone - Cagnola - Boldinasco;1659;991;664;4
2023/2024;72;Maggiore - Musocco - Certosa;462;280;180;2
2023/2024;73;Cascina Merlata;;;;
2023/2024;74;Roserio;;;;
2023/2024;75;Stephenson;;;;
2023/2024;76;Quarto Oggiaro - Vialba - Musocco;1062;549;510;3
2023/2024;77;Bovisa;238;227;11;
2023/2024;78;Farini;391;195;196;
2023/2024;79;Dergano;858;595;259;4
2023/2024;80;Affori;957;597;354;6
2023/2024;81;Bovisasca;220;146;74;
2023/2024;82;Comasina;374;179;195;
2023/2024;83;Bruzzano;576;376;198;2
2023/2024;84;Parco Nord;94;88;6;
2023/2024;85;Parco delle Abbazie;;;;
2023/2024;86;Parco dei Navigli;;;;
2023/2024;87;Assiano;;;;
2023/2024;88;Parco Bosco in citta';;;;
2021/2022;3;Giardini P.ta Venezia;;;;
2021/2022;4;Guastalla;1283;1220;63;
2021/2022;5;Porta Vigentina - Porta Lodovica;924;852;71;1
2021/2022;6;Porta Ticinese - Conca del Naviglio;758;653;103;2
2021/2022;7;Magenta - S.Vittore;1659;1558;99;2
2021/2022;8;Parco Sempione;;;;
2021/2022;9;Porta Garibaldi - Porta Nuova;;;;
2021/2022;10;Stazione Centrale - Ponte Seveso;980;879;98;3
