Anno Scolastico;IdNIL;Nil;Totale Iscritti;Iscritti Italiani;Iscritti Stranieri;N D
2023/2024;31;Monlue' - Ponte Lambro;;;;
2023/2024;32;Triulzo Superiore;;;;
2023/2024;33;Rogoredo - Santa Giulia;417;313;104;
2023/2024;34;Chiaravalle;;;;
2023/2024;35;Lodi - Corvetto;978;656;321;1
2023/2024;36;Scalo Romana;140;111;29;
2023/2024;37;Morivione;208;141;67;
2023/2024;38;Vigentino - Q.re Fatima;399;338;61;
2023/2024;39;Quintosole;;;;
2023/2024;40;Ronchetto delle Rane;;;;
2023/2024;41;Gratosoglio - Q.re Missaglia - Q.re Terrazze;439;278;158;3
2023/2024;42;Stadera - Chiesa Rossa - Q.re Torretta - Conca Fallata;574;403;170;1
2023/2024;43;Tibaldi;376;372;4;
2023/2024;44;Porta Ticinese - Conchetta;;;;
2023/2024;45;Moncucco - San Cristoforo;238;185;52;1
2023/2024;46;Barona;189;106;82;1
2023/2024;47;Cantalupa;;;;
2023/2024;48;Ronchetto sul Naviglio - Q.re Lodovico il Moro;642;505;135;2
2023/2024;49;Giambellino;516;325;190;1
2023/2024;50;Porta Genova;647;602;44;1
2023/2024;51;Porta Magenta;455;423;31;1
2023/2024;52;Bande Nere;1396;999;395;2
2023/2024;53;Lorenteggio;513;410;102;1
2023/2024;54;Muggiano;;;;
2023/2024;55;Baggio - Q.re degli Olmi - Q.re Valsesia;784;566;218;
2023/2024;56;Forze Armate;530;372;155;3
2023/2024;57;San Siro;192;188;4;
2023/2024;58;De Angeli - Monte Rosa;1097;880;217;
2023/2024;59;Tre Torri;;;;
2023/2024;60;Stadio - Ippodromi;632;353;276;3
2023/2024;61;Quarto Cagnino;447;356;91;
2023/2024;62;Quinto Romano;;;;
2023/2024;63;Figino;37;29;8;
2023/2024;64;Trenno;;;;
2023/2024;65;Q.re Gallaratese - Q.re San Leonardo - Lampugnano;863;723;138;2
2023/2024;66;QT 8;255;233;21;1
2023/2024;67;Portello;131;106;25;
2023/2024;68;Pagano;795;736;59;
2023/2024;69;Sarpi;734;599;133;2
2023/2024;70;Ghisolfa;165;160;5;
2023/2024;71;Villapizzone - Cagnola - Boldinasco;1030;557;470;3
2023/2024;72;Maggiore - Musocco - Certosa;209;146;63;
2023/2024;73;Cascina Merlata;;;;
2023/2024;74;Roserio;;;;
2023/2024;75;Stephenson;;;;
2023/2024;76;Quarto Oggiaro - Vialba - Musocco;589;332;256;1
2023/2024;77;Bovisa;150;141;9;
2023/2024;78;Farini;;;;
2023/2024;79;Dergano;950;638;312;
2023/2024;80;Affori;611;337;273;1
2023/2024;81;Bovisasca;124;87;36;1
2023/2024;82;Comasina;222;137;85;
2023/2024;83;Bruzzano;318;223;93;2
2023/2024;84;Parco Nord;74;71;3;
2023/2024;85;Parco delle Abbazie;;;;
2023/2024;86;Parco dei Navigli;;;;
2023/2024;87;Assiano;;;;
2023/2024;88;Parco Bosco in citta';;;;
2021/2022;10;Stazione Centrale - Ponte Seveso;939;867;72;
2021/2022;11;Isola;382;322;60;
2021/2022;12;Maciachini - Maggiolina;581;415;166;
2021/2022;13;Greco - Segnano;365;245;120;
2021/2022;14;Niguarda - Ca? Granda - Prato Centenaro - Q.re Fulvio Testi;993;835;158;
2021/2022;15;Bicocca;;;;
2021/2022;16;Gorla - Precotto;837;539;296;2
2021/2022;17;Adriano;71;52;19;
2021/2022;18;Cimiano - Rottole - Q.re Feltre;621;426;193;2
2021/2022;19;Padova - Turro - Crescenzago;571;353;218;
2021/2022;20;Loreto - Casoretto - NoLo;1651;1163;487;1
2021/2022;21;Buenos Aires - Porta Venezia - Porta Monforte;1591;1408;182;1
2021/2022;22;Citta' studi;808;738;70;
2021/2022;23;Lambrate - Ortica;334;333;1;
2021/2022;24;Parco Forlanini - Cavriano;;;;
2021/2022;25;Corsica;658;540;118;
2021/2022;26;XXII Marzo;908;788;120;
2021/2022;27;Pta Romana;83;81;2;
2021/2022;28;Umbria - Molise - Calvairate;;;;
2021/2022;29;Ortomercato;166;75;91;
2021/2022;30;Taliedo - Morsenchio - Q.re Forlanini;453;310;143;
2021/2022;31;Monlue' - Ponte Lambro;;;;
2021/2022;32;Triulzo Superiore;;;;
2021/2022;33;Rogoredo - Santa Giulia;373;268;105;
2021/2022;34;Chiaravalle;;;;
2021/2022;35;Lodi - Corvetto;1060;724;333;3
2021/2022;36;Scalo Romana;105;86;19;
2021/2022;37;Morivione;201;134;67;
2021/2022;38;Vigentino - Q.re Fatima;391;343;48;
2021/2022;39;Quintosole;;;;
2021/2022;40;Ronchetto delle Rane;;;;
2021/2022;41;Gratosoglio - Q.re Missaglia - Q.re Terrazze;457;305;152;
2021/2022;42;Stadera - Chiesa Rossa - Q.re Torretta - Conca Fallata;733;555;178;
2021/2022;43;Tibaldi;268;262;6;
2021/2022;44;Porta Ticinese - Conchetta;;;;
2021/2022;45;Moncucco - San Cristoforo;202;153;49;
2021/2022;46;Barona;177;118;58;1
2021/2022;47;Cantalupa;;;;
2021/2022;48;Ronchetto sul Naviglio - Q.re Lodovico il Moro;611;469;142;
2021/2022;49;Giambellino;413;315;98;
2021/2022;50;Porta Genova;;;;
2021/2022;51;Porta Magenta;1132;1052;80;
2021/2022;52;Bande Nere;1564;1145;417;2
2021/2022;53;Lorenteggio;566;434;131;1
2021/2022;54;Muggiano;;;;
2021/2022;55;Baggio - Q.re degli Olmi - Q.re Valsesia;829;620;206;3
2021/2022;56;Forze Armate;463;322;140;1
2021/2022;57;San Siro;149;145;4;
