id_area;municipio;area;località;obj_id;codice;descrizione_codice;data_ini;area_mq;perim_m;LONG_X_4326;LAT_Y_4326;Location
1_043;1;043;via Ronzoni;132009;S327554;Area fruizione cani;2017/02/27;573.68743245392;165.347310230165;9.1763458105;45.4545524201;"(45.4545524201, 9.1763458105)"
1_308;1;308;giardino Renata Tebaldi;25318;S327554;Area fruizione cani;2006/03/15;353.23854999883;80.318582984;9.1669679078;45.4692691347;"(45.4692691347, 9.1669679078)"
1_213;1;213;giardino Malgeri Alfredo;176223;S327554;Area fruizione cani;2024/05/18;182.406688330467;54.4397796834277;9.190529718;45.4804715534;"(45.4804715534, 9.190529718)"
1_092;1;092;giardino Roberto Bazlen;114785;S327554;Area fruizione cani;2013/05/06;70.9188518099706;41.8376880068486;9.1983196986;45.4543460274;"(45.4543460274, 9.1983196986)"
1_239;1;239;viale Beatrice d'Este;52831;S327554;Area fruizione cani;2011/04/15;914.70626402578;189.052020988162;9.1892393032;45.4519613501;"(45.4519613501, 9.1892393032)"
1_264;1;264;viale Elvezia;49682;S327554;Area fruizione cani;2010/04/23;714.829023672755;126.98364575397;9.1755008385;45.4773913991;"(45.4773913991, 9.1755008385)"
1_153;1;153;giardino della Guastalla;25331;S327554;Area fruizione cani;2003/12/11;69.7726999995882;30.3036877010529;9.1982943801;45.4599057042;"(45.4599057042, 9.1982943801)"
1_253;1;253;piazzale Baracca;25475;S327554;Area fruizione cani;2003/06/27;321.76769999614;82.1202536617964;9.165642185;45.4664624874;"(45.4664624874, 9.165642185)"
1_210;1;210;viale Monte Santo;141629;S327554;Area fruizione cani;2019/10/11;776.579187841048;147.754976343056;9.1949805796;45.4790039212;"(45.4790039212, 9.1949805796)"
1_270;1;270;giardino Custrà Antonio;25340;S327554;Area fruizione cani;2003/08/29;194.980450014481;170.05534249251;9.168893009;45.4603421413;"(45.4603421413, 9.168893009)"
1_231;1;231;viale Bianca Maria;25453;S327554;Area fruizione cani;2004/01/19;377.668327948443;104.27876171331;9.2059561479;45.4668691622;"(45.4668691622, 9.2059561479)"
1_158;1;158;parco Papa Giovanni Paolo II;113358;S327554;Area fruizione cani;2012/10/15;1567.10699084968;187.603115170547;9.1831416213;45.4580095154;"(45.4580095154, 9.1831416213)"
1_158;1;158;parco Papa Giovanni Paolo II;25469;S327554;Area fruizione cani;2003/08/29;960.63474999693;128.187071988568;9.1821748802;45.4545818869;"(45.4545818869, 9.1821748802)"
1_059;1;059;piazza Venino;25395;S327554;Area fruizione cani;2003/05/16;351.538849994839;117.285952351015;9.169229591;45.4609934521;"(45.4609934521, 9.169229591)"
1_250;1;250;largo Quinto Alpini;50324;S327554;Area fruizione cani;2010/06/08;94.3508487431049;46.4926614819969;9.1680916231;45.4727784338;"(45.4727784338, 9.1680916231)"
1_227;1;227;viale Caldara;141326;S327554;Area fruizione cani;2019/07/16;549.244338981262;120.966086699235;9.2028963235;45.4542281645;"(45.4542281645, 9.2028963235)"
1_151;1;151;parco Sempione;25360;S327554;Area fruizione cani;2004/01/23;4231.48900578094;305.125702690401;9.1799981138;45.4737473546;"(45.4737473546, 9.1799981138)"
1_151;1;151;parco Sempione;25359;S327554;Area fruizione cani;2004/01/23;8207.32464998303;519.143524504974;9.1807764681;45.4759905648;"(45.4759905648, 9.1807764681)"
1_151;1;151;parco Sempione;25358;S327554;Area fruizione cani;2004/01/23;2484.93969999424;205.35171498763;9.1716999324;45.4746440535;"(45.4746440535, 9.1716999324)"
1_151;1;151;parco Sempione;25396;S327554;Area fruizione cani;2004/01/23;10995.609850018;732.72285937591;9.1752708524;45.4707345748;"(45.4707345748, 9.1752708524)"
1_121;1;121;giardini Montanelli Indro;25455;S327554;Area fruizione cani;2003/11/11;7942.42555000421;343.598959855449;9.1984126004;45.4741069528;"(45.4741069528, 9.1984126004)"
1_121;1;121;giardini Montanelli Indro;25454;S327554;Area fruizione cani;2003/11/11;4657.1737999926;305.547007530406;9.1988393066;45.4759303517;"(45.4759303517, 9.1988393066)"
2_022;2;022;via Giulietti;105862;S327554;Area fruizione cani;2012/04/10;363.469223869964;79.2692638838965;9.2462409854;45.5074646767;"(45.5074646767, 9.2462409854)"
2_053;2;053;vie Vittorelli - Padova;46950;S327554;Area fruizione cani;2009/07/01;836.773418416389;145.014795710421;9.2430787546;45.5071983722;"(45.5071983722, 9.2430787546)"
2_115;2;115;vie Zuretti - Tirano - Naviglio Martesana;25311;S327554;Area fruizione cani;2003/05/29;316.263750001184;71.6493755365691;9.2115661154;45.4979598404;"(45.4979598404, 9.2115661154)"
2_098;2;098;parco Trotter;25486;S327554;Area fruizione cani;2003/08/01;1010.90794997531;157.226984236353;9.2237353145;45.4924920088;"(45.4924920088, 9.2237353145)"
2_098;2;098;parco Trotter;25485;S327554;Area fruizione cani;2003/08/01;1795.7150000035;298.107719150104;9.2228242148;45.4954325037;"(45.4954325037, 9.2228242148)"
2_112;2;112;piazzale Farina;173262;S327554;Area fruizione cani;2023/02/25;560.008820278702;97.6549457144851;9.200037726;45.4989263691;"(45.4989263691, 9.200037726)"
2_119;2;119;piazza Carbonari;123590;S327554;Area fruizione cani;2015/09/25;1796.58764443065;205.134035535274;9.2005100811;45.4931347888;"(45.4931347888, 9.2005100811)"
2_119;2;119;piazza Carbonari;123589;S327554;Area fruizione cani;2015/09/25;942.59353616069;147.748785450018;9.2000448366;45.494623695;"(45.494623695, 9.2000448366)"
2_036;2;036;vie Giacometti - Gilardi - Breda;43545;S327554;Area fruizione cani;2003/05/29;365.56416356296;114.726890727349;9.2205237847;45.5139865205;"(45.5139865205, 9.2205237847)"
2_036;2;036;vie Giacometti - Gilardi - Breda;46948;S327554;Area fruizione cani;2009/07/01;927.654759374837;129.270228777933;9.2185587307;45.5140638476;"(45.5140638476, 9.2185587307)"
2_011;2;011;vie Dal Pozzo Toscanelli - Rottole;50632;S327554;Area fruizione cani;2010/10/04;514.925300000962;117.532810695231;9.2427807233;45.5035126585;"(45.5035126585, 9.2427807233)"
2_043;2;043;via Giacosa;138680;S327554;Area fruizione cani;2017/12/27;465.435962577212;136.138839261986;9.2223217827;45.493523628;"(45.493523628, 9.2223217827)"
2_258;2;258;giardino Franca Rame;118817;S327554;Area fruizione cani;2014/05/17;1459.40605560094;175.863674764704;9.2389041522;45.5159906964;"(45.5159906964, 9.2389041522)"
2_057;2;057;via Cislaghi;171901;S327554;Area fruizione cani;2022/04/22;763.576100824499;124.246833772425;9.2281339279;45.5136353797;"(45.5136353797, 9.2281339279)"
2_013;2;013;parco Panza;131336;S327554;Area fruizione cani;2016/12/28;3788.19536315361;278.383119443289;9.2233540188;45.5219512419;"(45.5219512419, 9.2233540188)"
2_221;2;221;vie Breda - Angeleri;138679;S327554;Area fruizione cani;2017/10/16;628.143086404896;124.557380546304;9.2130631066;45.5101446849;"(45.5101446849, 9.2130631066)"
2_001;2;001;vie Trasimeno - San Mamete;138683;S327554;Area fruizione cani;2017/10/09;863.404636222768;135.500961490581;9.2524473854;45.5129734565;"(45.5129734565, 9.2524473854)"
2_049;2;049;via Rucellai;122426;S327554;Area fruizione cani;2015/06/03;361.977430304349;90.8369985345092;9.2170714865;45.5117539571;"(45.5117539571, 9.2170714865)"
2_030;2;030;vie Mariani Pompeo - Padre Semeria;166290;S327554;Area fruizione cani;2019/05/17;864.95778074181;121.568526400444;9.230916801;45.5115857524;"(45.5115857524, 9.230916801)"
2_030;2;030;vie Mariani Pompeo - Padre Semeria;166291;S327554;Area fruizione cani;2019/05/17;623.246619827988;105.483374712969;9.2308301412;45.5118153124;"(45.5118153124, 9.2308301412)"
2_120;2;120;largo San Valentino;46952;S327554;Area fruizione cani;2009/07/01;567.485879291053;86.8793450562225;9.2129810608;45.4967820341;"(45.4967820341, 9.2129810608)"
2_272;2;272;via Mulas;141057;S327554;Area fruizione cani;2019/05/25;1726.42489093293;167.290998622934;9.2406744722;45.5187095374;"(45.5187095374, 9.2406744722)"
2_027;2;027;parco Francesco Di Cataldo;25477;S327554;Area fruizione cani;2003/08/01;1065.53410004051;277.95161710088;9.2331661478;45.5127884882;"(45.5127884882, 9.2331661478)"
2_027;2;027;parco Francesco Di Cataldo;25478;S327554;Area fruizione cani;2003/08/01;2401.27524999375;190.753076343365;9.2332669082;45.5143547236;"(45.5143547236, 9.2332669082)"
2_126;2;126;giardino Aldo Protti e Gregor Mendel;25495;S327554;Area fruizione cani;2003/08/01;943.183100006758;122.074675229881;9.1960072035;45.4883393008;"(45.4883393008, 9.1960072035)"
2_126;2;126;giardino Aldo Protti e Gregor Mendel;130784;S327554;Area fruizione cani;2016/10/06;673.671761090143;146.479789726271;9.1977314768;45.4904434835;"(45.4904434835, 9.1977314768)"
2_231;2;231;viale Monza;166292;S327554;Area fruizione cani;2016/04/27;601.217382286548;97.7795233758862;9.2228601326;45.5080521695;"(45.5080521695, 9.2228601326)"
2_231;2;231;viale Monza;166293;S327554;Area fruizione cani;2016/04/27;410.202109529414;90.0125377274237;9.222658482;45.5080565319;"(45.5080565319, 9.222658482)"
2_167;2;167;giardino Gabriele Basilico;25304;S327554;Area fruizione cani;2003/08/01;555.935599998234;118.915950906723;9.2105540222;45.4870732495;"(45.4870732495, 9.2105540222)"
2_285;2;285;vie Rho - Conti Carlo;175388;S327554;Area fruizione cani;2023/10/03;1085.673962771;158.583741551979;9.215223885;45.4998475771;"(45.4998475771, 9.215223885)"
2_204;2;204;parco Adriano;47472;S327554;Area fruizione cani;2009/07/01;1146.58389923621;147.702017717163;9.2486687597;45.5185246873;"(45.5185246873, 9.2486687597)"
2_204;2;204;parco Adriano;48565;S327554;Area fruizione cani;2009/07/02;4709.62676004903;268.336076353313;9.2540068132;45.515996755;"(45.515996755, 9.2540068132)"
2_062;2;062;parco Martiri delle Libertà Iracheni Vittime del Terrorismo;114897;S327554;Area fruizione cani;2013/05/14;2537.59942159656;251.104915462616;9.2344970933;45.5041471625;"(45.5041471625, 9.2344970933)"
2_062;2;062;parco Martiri delle Libertà Iracheni Vittime del Terrorismo;123592;S327554;Area fruizione cani;2015/09/30;2601.70090070243;288.014770019454;9.2295944674;45.503016638;"(45.503016638, 9.2295944674)"
2_062;2;062;parco Martiri delle Libertà Iracheni Vittime del Terrorismo;123591;S327554;Area fruizione cani;2015/09/30;3529.61115069818;246.715236790258;9.232757191;45.5021779699;"(45.5021779699, 9.232757191)"
2_062;2;062;parco Martiri delle Libertà Iracheni Vittime del Terrorismo;25382;S327554;Area fruizione cani;2003/07/23;481.951049996103;100.894671370548;9.2354695293;45.5044061134;"(45.5044061134, 9.2354695293)"
2_282;2;282;giardino Sandra Mondaini e Raimondo Vianello;174251;S327554;Area fruizione cani;2023/04/11;1414.62377257993;154.538366757447;9.23578867;45.5161904105;"(45.5161904105, 9.23578867)"
2_033;2;033;vie Petrocchi - Bertelli;167079;S327554;Area fruizione cani;2016/03/21;1532.43765489029;188.02727578649;9.2285071746;45.5033003909;"(45.5033003909, 9.2285071746)"
