Quotazioni Immobiliari : Valori di Mercato - Semestre 2024/2 - elaborazione del 21-AGO-25
Area_territoriale;Regione;Prov;Comune_ISTAT;Comune_cat;Sez;Comune_amm;Comune_descrizione;Fascia;Zona;LinkZona;Cod_Tip;Descr_Tipologia;Stato;Stato_prev;Compr_min;Compr_max;Sup_NL_compr;Loc_min;Loc_max;Sup_NL_loc;
NORD-OVEST;LOMBARDIA;CO;3013075;C4AA; ;C933;COMO;B;B1;CO00000043;20;Abitazioni civili;NORMALE;P;2700;3800;L;12;15,5;L;
NORD-OVEST;LOMBARDIA;CO;3013075;C4AA; ;C933;COMO;B;B1;CO00000043;20;Abitazioni civili;OTTIMO; ;3300;4800;L;;;;
NORD-OVEST;LOMBARDIA;CO;3013075;C4AA; ;C933;COMO;B;B1;CO00000043;19;Abitazioni signorili;NORMALE;P;2800;4000;L;;;;
NORD-OVEST;LOMBARDIA;CO;3013075;C4AA; ;C933;COMO;B;B1;CO00000043;19;Abitazioni signorili;OTTIMO; ;3800;5200;L;;;;
NORD-OVEST;LOMBARDIA;CO;3013075;C4AA; ;C933;COMO;B;B1;CO00000043;13;Box;NORMALE;P;2600;3900;L;10,7;14,8;L;
NORD-OVEST;LOMBARDIA;CO;3013075;C4AA; ;C933;COMO;B;B1;CO00000043;5;Negozi;OTTIMO;P;8000;14000;L;32;64;L;
NORD-OVEST;LOMBARDIA;CO;3013075;C4AA; ;C933;COMO;B;B1;CO00000043;5;Negozi;SCADENTE; ;2000;2500;L;;;;
NORD-OVEST;LOMBARDIA;CO;3013075;C4AA; ;C933;COMO;B;B1;CO00000043;5;Negozi;NORMALE; ;2700;5000;L;15;25;L;
NORD-OVEST;LOMBARDIA;CO;3013075;C4AA; ;C933;COMO;B;B1;CO00000043;6;Uffici;NORMALE;P;1800;2600;L;7,5;14;L;
NORD-OVEST;LOMBARDIA;CO;3013075;C4AA; ;C933;COMO;B;B1;CO00000043;6;Uffici;OTTIMO; ;2600;3500;L;;;;
NORD-OVEST;LOMBARDIA;CO;3013075;C4AA; ;C933;COMO;B;B2;CO00002655;20;Abitazioni civili;OTTIMO; ;3200;4200;L;;;;
NORD-OVEST;LOMBARDIA;CO;3013075;C4AA; ;C933;COMO;B;B2;CO00002655;20;Abitazioni civili;NORMALE;P;2500;3300;L;10,5;14,5;L;
NORD-OVEST;LOMBARDIA;CO;3013075;C4AA; ;C933;COMO;B;B2;CO00002655;21;Abitazioni di tipo economico;NORMALE;P;1600;2400;L;7,5;10,5;L;
NORD-OVEST;LOMBARDIA;CO;3013075;C4AA; ;C933;COMO;B;B2;CO00002655;13;Box;NORMALE;P;2000;3000;L;7;10,5;L;
NORD-OVEST;LOMBARDIA;CO;3013075;C4AA; ;C933;COMO;B;B2;CO00002655;9;Magazzini;NORMALE;P;800;1500;L;3,7;7,3;L;
NORD-OVEST;LOMBARDIA;CO;3013075;C4AA; ;C933;COMO;B;B2;CO00002655;5;Negozi;SCADENTE; ;900;1300;L;;;;
NORD-OVEST;LOMBARDIA;CO;3013075;C4AA; ;C933;COMO;B;B2;CO00002655;5;Negozi;OTTIMO; ;2500;3500;L;18;30;L;
NORD-OVEST;LOMBARDIA;CO;3013075;C4AA; ;C933;COMO;B;B2;CO00002655;5;Negozi;NORMALE;P;1500;2500;L;10;18;L;
NORD-OVEST;LOMBARDIA;CO;3013075;C4AA; ;C933;COMO;B;B2;CO00002655;6;Uffici;NORMALE;P;1500;2400;L;7;11;L;
NORD-OVEST;LOMBARDIA;CO;3013075;C4AA; ;C933;COMO;B;B2;CO00002655;10;Laboratori;NORMALE;P;1000;1800;L;;;;
NORD-OVEST;LOMBARDIA;CO;3013075;C4AA; ;C933;COMO;B;B4;CO00003791;20;Abitazioni civili;NORMALE;P;2000;3000;L;8;12;L;
NORD-OVEST;LOMBARDIA;CO;3013075;C4AA; ;C933;COMO;B;B4;CO00003791;20;Abitazioni civili;OTTIMO; ;3000;4000;L;;;;
NORD-OVEST;LOMBARDIA;CO;3013075;C4AA; ;C933;COMO;B;B4;CO00003791;19;Abitazioni signorili;OTTIMO; ;3400;4800;L;;;;
NORD-OVEST;LOMBARDIA;CO;3013075;C4AA; ;C933;COMO;B;B4;CO00003791;19;Abitazioni signorili;NORMALE;P;2300;3200;L;;;;
NORD-OVEST;LOMBARDIA;CO;3013075;C4AA; ;C933;COMO;B;B4;CO00003791;13;Box;NORMALE;P;1600;2400;L;4;5;L;
NORD-OVEST;LOMBARDIA;CO;3013075;C4AA; ;C933;COMO;B;B4;CO00003791;1;Ville e Villini;OTTIMO; ;4500;5300;L;;;;
NORD-OVEST;LOMBARDIA;CO;3013075;C4AA; ;C933;COMO;B;B4;CO00003791;1;Ville e Villini;NORMALE;P;3200;4500;L;;;;
NORD-OVEST;LOMBARDIA;CO;3013075;C4AA; ;C933;COMO;B;B4;CO00003791;5;Negozi;NORMALE;P;1500;2500;L;6;11,5;L;
NORD-OVEST;LOMBARDIA;CO;3013075;C4AA; ;C933;COMO;B;B4;CO00003791;6;Uffici;NORMALE;P;1500;2200;L;6,5;9,5;L;
NORD-OVEST;LOMBARDIA;CO;3013075;C4AA; ;C933;COMO;B;B6;CO00009788;20;Abitazioni civili;OTTIMO; ;3500;4500;L;;;;
NORD-OVEST;LOMBARDIA;CO;3013075;C4AA; ;C933;COMO;B;B6;CO00009788;20;Abitazioni civili;NORMALE;P;2500;3700;L;9;13;L;
NORD-OVEST;LOMBARDIA;CO;3013075;C4AA; ;C933;COMO;B;B6;CO00009788;19;Abitazioni signorili;NORMALE;P;2500;3600;L;;;;
NORD-OVEST;LOMBARDIA;CO;3013075;C4AA; ;C933;COMO;B;B6;CO00009788;19;Abitazioni signorili;OTTIMO; ;3500;4600;L;;;;
NORD-OVEST;LOMBARDIA;CO;3013075;C4AA; ;C933;COMO;B;B6;CO00009788;13;Box;NORMALE;P;2000;3000;L;7;9;L;
NORD-OVEST;LOMBARDIA;CO;3013075;C4AA; ;C933;COMO;B;B6;CO00009788;1;Ville e Villini;OTTIMO; ;4000;4700;L;;;;
NORD-OVEST;LOMBARDIA;CO;3013075;C4AA; ;C933;COMO;B;B6;CO00009788;1;Ville e Villini;NORMALE;P;2800;3800;L;;;;
NORD-OVEST;LOMBARDIA;CO;3013075;C4AA; ;C933;COMO;B;B6;CO00009788;5;Negozi;NORMALE;P;2000;3500;L;11,5;23;L;
NORD-OVEST;LOMBARDIA;CO;3013075;C4AA; ;C933;COMO;B;B6;CO00009788;5;Negozi;OTTIMO; ;4500;6500;L;;;;
NORD-OVEST;LOMBARDIA;CO;3013075;C4AA; ;C933;COMO;B;B6;CO00009788;6;Uffici;NORMALE;P;1700;2500;L;6,6;9,7;L;
NORD-OVEST;LOMBARDIA;CO;3013075;C4AA; ;C933;COMO;B;B6;CO00009788;6;Uffici;OTTIMO; ;2600;3500;L;;;;
NORD-OVEST;LOMBARDIA;CO;3013075;C4AA; ;C933;COMO;C;C2;CO00002656;20;Abitazioni civili;OTTIMO; ;2400;3500;L;6,5;8,5;L;
NORD-OVEST;LOMBARDIA;CO;3013075;C4AA; ;C933;COMO;C;C2;CO00002656;20;Abitazioni civili;NORMALE;P;1600;2400;L;3,9;5,8;L;
NORD-OVEST;LOMBARDIA;CO;3013075;C4AA; ;C933;COMO;C;C2;CO00002656;21;Abitazioni di tipo economico;NORMALE;P;900;1300;L;3,3;4,6;L;
NORD-OVEST;LOMBARDIA;CO;3013075;C4AA; ;C933;COMO;C;C2;CO00002656;13;Box;NORMALE;P;1100;1650;L;3,4;5;L;
NORD-OVEST;LOMBARDIA;CO;3013075;C4AA; ;C933;COMO;C;C2;CO00002656;9;Magazzini;NORMALE;P;600;1000;L;;;;
NORD-OVEST;LOMBARDIA;CO;3013075;C4AA; ;C933;COMO;C;C2;CO00002656;10;Laboratori;NORMALE;P;700;1200;L;3,4;6,5;L;
NORD-OVEST;LOMBARDIA;CO;3013075;C4AA; ;C933;COMO;C;C3;CO00004602;20;Abitazioni civili;OTTIMO; ;2000;2700;L;;;;
NORD-OVEST;LOMBARDIA;CO;3013075;C4AA; ;C933;COMO;C;C3;CO00004602;20;Abitazioni civili;NORMALE;P;1450;1900;L;5,8;8,6;L;
