Quotazioni Immobiliari : Informazioni di Zona OMI - Semestre 2024/2 - elaborazione del 21-AGO-25
Area_territoriale;Regione;Prov;Comune_ISTAT;Comune_cat;Sez;Comune_amm;Comune_descrizione;Fascia;Zona_Descr;Zona;LinkZona;Cod_tip_prev;Descr_tip_prev;Stato_prev;Microzona;
NORD-OVEST;LOMBARDIA;CO;3013075;C4AA; ;C933;COMO;B;'CITTA MURATA';B1;CO00000043;20;Abitazioni civili;N;2;
NORD-OVEST;LOMBARDIA;CO;3013075;C4AA; ;C933;COMO;B;'CONVALLE FUORI MURA :VECCHIO BORGO VICO - VLE VARESE - GERBETTO - ZEZIO - CRISPI - PRUDENZIANA';B2;CO00002655;20;Abitazioni civili;N;2;
NORD-OVEST;LOMBARDIA;CO;3013075;C4AA; ;C933;COMO;B;'LITORANEA  PANORAMICA PER CERNOBBIO: LARIO OCCIDENTALE - S.PIETRO - VILLA APRICA';B4;CO00003791;20;Abitazioni civili;N;1;
NORD-OVEST;LOMBARDIA;CO;3013075;C4AA; ;C933;COMO;B;'LARIO CITTADINO CENTRALE - LITORANEA PANORAMICA PER BELLAGIO';B6;CO00009788;19;Abitazioni signorili;N;0;
NORD-OVEST;LOMBARDIA;CO;3013075;C4AA; ;C933;COMO;C;'VIALE INNOCENZO - VIA GRANDI -  S.ABBONDIO - VECCHIA REGINA';C2;CO00002656;20;Abitazioni civili;N;3;
NORD-OVEST;LOMBARDIA;CO;3013075;C4AA; ;C933;COMO;C;'CASERME, MADRUZZA, S.MARTINO, LORA';C3;CO00004602;20;Abitazioni civili;N;2;
NORD-OVEST;LOMBARDIA;CO;3013075;C4AA; ;C933;COMO;C;'ZONE PANORAMICHE SOPRA VIA PRUDENZIANA, VIA CRISPI, GARZOLA';C4;CO00004603;20;Abitazioni civili;N;2;
NORD-OVEST;LOMBARDIA;CO;3013075;C4AA; ;C933;COMO;C;'VIALE GIULIO CESARE, VIA MILANO ALTA, VIA LEONI';C5;CO00009804;19;Abitazioni signorili;N;0;
NORD-OVEST;LOMBARDIA;CO;3013075;C4AA; ;C933;COMO;C;'COMO SOLE, UNIVERSITA'';C6;CO00009806;19;Abitazioni signorili;N;0;
NORD-OVEST;LOMBARDIA;CO;3013075;C4AA; ;C933;COMO;D;'RESIDENZIALE PEDEMONTANA - ZONE DI CIVIGLIO E CAMNAGO VOLTA';D1;CO00000045;20;Abitazioni civili;N;4;
