Quotazioni Immobiliari : Valori di Mercato - Semestre 2024/2 - elaborazione del 21-AGO-25
Area_territoriale;Regione;Prov;Comune_ISTAT;Comune_cat;Sez;Comune_amm;Comune_descrizione;Fascia;Zona;LinkZona;Cod_Tip;Descr_Tipologia;Stato;Stato_prev;Compr_min;Compr_max;Sup_NL_compr;Loc_min;Loc_max;Sup_NL_loc;
NORD-OVEST;LOMBARDIA;LC;3097013;C2CM; ;B423;CALOLZIOCORTE;B;B2;LC00002553;20;Abitazioni civili;NORMALE;P;1150;1500;L;4,5;6;L;
NORD-OVEST;LOMBARDIA;LC;3097013;C2CM; ;B423;CALOLZIOCORTE;B;B2;LC00002553;21;Abitazioni di tipo economico;NORMALE;P;900;1150;L;3,6;4,5;L;
NORD-OVEST;LOMBARDIA;LC;3097013;C2CM; ;B423;CALOLZIOCORTE;B;B2;LC00002553;13;Box;NORMALE;P;850;1150;L;3,8;4,8;L;
NORD-OVEST;LOMBARDIA;LC;3097013;C2CM; ;B423;CALOLZIOCORTE;B;B2;LC00002553;1;Ville e Villini;NORMALE;P;1150;1600;L;5;6,6;L;
NORD-OVEST;LOMBARDIA;LC;3097013;C2CM; ;B423;CALOLZIOCORTE;B;B2;LC00002553;9;Magazzini;NORMALE;P;500;600;L;;;;
NORD-OVEST;LOMBARDIA;LC;3097013;C2CM; ;B423;CALOLZIOCORTE;B;B2;LC00002553;5;Negozi;NORMALE;P;1150;1600;L;5,4;7,1;L;
NORD-OVEST;LOMBARDIA;LC;3097013;C2CM; ;B423;CALOLZIOCORTE;B;B2;LC00002553;5;Negozi;OTTIMO; ;1650;1800;L;7,3;8,4;L;
NORD-OVEST;LOMBARDIA;LC;3097013;C2CM; ;B423;CALOLZIOCORTE;B;B2;LC00002553;6;Uffici;NORMALE;P;1150;1550;L;5;7;L;
NORD-OVEST;LOMBARDIA;LC;3097013;C2CM; ;B423;CALOLZIOCORTE;B;B2;LC00002553;8;Capannoni industriali;NORMALE;P;480;680;L;;;;
NORD-OVEST;LOMBARDIA;LC;3097013;C2CM; ;B423;CALOLZIOCORTE;B;B2;LC00002553;10;Laboratori;NORMALE;P;480;680;L;;;;
NORD-OVEST;LOMBARDIA;LC;3097013;C2CM; ;B423;CALOLZIOCORTE;D;D2;LC00003163;20;Abitazioni civili;NORMALE;P;1050;1400;L;4,4;5,8;L;
NORD-OVEST;LOMBARDIA;LC;3097013;C2CM; ;B423;CALOLZIOCORTE;D;D2;LC00003163;21;Abitazioni di tipo economico;NORMALE;P;850;1050;L;3,4;4,2;L;
NORD-OVEST;LOMBARDIA;LC;3097013;C2CM; ;B423;CALOLZIOCORTE;D;D2;LC00003163;13;Box;NORMALE;P;850;1000;L;3,5;4,4;L;
NORD-OVEST;LOMBARDIA;LC;3097013;C2CM; ;B423;CALOLZIOCORTE;D;D2;LC00003163;1;Ville e Villini;NORMALE;P;1100;1550;L;4,8;6,2;L;
NORD-OVEST;LOMBARDIA;LC;3097013;C2CM; ;B423;CALOLZIOCORTE;D;D2;LC00003163;9;Magazzini;NORMALE;P;470;600;L;;;;
NORD-OVEST;LOMBARDIA;LC;3097013;C2CM; ;B423;CALOLZIOCORTE;D;D2;LC00003163;5;Negozi;NORMALE;P;1100;1450;L;5,2;6,4;L;
NORD-OVEST;LOMBARDIA;LC;3097013;C2CM; ;B423;CALOLZIOCORTE;D;D2;LC00003163;5;Negozi;OTTIMO; ;1450;1650;L;6,6;7,5;L;
NORD-OVEST;LOMBARDIA;LC;3097013;C2CM; ;B423;CALOLZIOCORTE;D;D2;LC00003163;6;Uffici;NORMALE;P;1150;1450;L;4,8;6,4;L;
NORD-OVEST;LOMBARDIA;LC;3097013;C2CM; ;B423;CALOLZIOCORTE;D;D2;LC00003163;8;Capannoni industriali;NORMALE;P;500;730;L;;;;
NORD-OVEST;LOMBARDIA;LC;3097013;C2CM; ;B423;CALOLZIOCORTE;D;D2;LC00003163;10;Laboratori;NORMALE;P;500;730;L;;;;
NORD-OVEST;LOMBARDIA;LC;3097013;C2CM; ;B423;CALOLZIOCORTE;D;D3;LC00003164;20;Abitazioni civili;NORMALE;P;1050;1400;L;4,4;5,8;L;
NORD-OVEST;LOMBARDIA;LC;3097013;C2CM; ;B423;CALOLZIOCORTE;D;D3;LC00003164;21;Abitazioni di tipo economico;NORMALE;P;850;1050;L;3,6;4,2;L;
NORD-OVEST;LOMBARDIA;LC;3097013;C2CM; ;B423;CALOLZIOCORTE;D;D3;LC00003164;13;Box;NORMALE;P;900;1050;L;3,8;4,4;L;
NORD-OVEST;LOMBARDIA;LC;3097013;C2CM; ;B423;CALOLZIOCORTE;D;D3;LC00003164;1;Ville e Villini;NORMALE;P;1100;1500;L;4,6;6;L;
NORD-OVEST;LOMBARDIA;LC;3097013;C2CM; ;B423;CALOLZIOCORTE;D;D3;LC00003164;9;Magazzini;NORMALE;P;480;620;L;;;;
NORD-OVEST;LOMBARDIA;LC;3097013;C2CM; ;B423;CALOLZIOCORTE;D;D3;LC00003164;5;Negozi;NORMALE;P;1050;1450;L;5,2;6,8;L;
NORD-OVEST;LOMBARDIA;LC;3097013;C2CM; ;B423;CALOLZIOCORTE;D;D3;LC00003164;5;Negozi;OTTIMO; ;1450;1650;L;7;7,6;L;
NORD-OVEST;LOMBARDIA;LC;3097013;C2CM; ;B423;CALOLZIOCORTE;D;D3;LC00003164;6;Uffici;NORMALE;P;1050;1500;L;4,8;6,4;L;
NORD-OVEST;LOMBARDIA;LC;3097013;C2CM; ;B423;CALOLZIOCORTE;D;D3;LC00003164;8;Capannoni industriali;NORMALE;P;500;700;L;;;;
NORD-OVEST;LOMBARDIA;LC;3097013;C2CM; ;B423;CALOLZIOCORTE;D;D3;LC00003164;10;Laboratori;NORMALE;P;500;700;L;;;;
NORD-OVEST;LOMBARDIA;LC;3097013;C2CM; ;B423;CALOLZIOCORTE;R;R2;LC00003165;20;Abitazioni civili;NORMALE;P;1000;1300;L;4,2;5,4;L;
