Quotazioni Immobiliari : Informazioni di Zona OMI - Semestre 2024/2 - elaborazione del 21-AGO-25
Area_territoriale;Regione;Prov;Comune_ISTAT;Comune_cat;Sez;Comune_amm;Comune_descrizione;Fascia;Zona_Descr;Zona;LinkZona;Cod_tip_prev;Descr_tip_prev;Stato_prev;Microzona;
NORD-OVEST;LOMBARDIA;LC;3097013;C2CM; ;B423;CALOLZIOCORTE;B;'CENTRO EDIFICATO';B2;LC00002553;20;Abitazioni civili;N;1;
NORD-OVEST;LOMBARDIA;LC;3097013;C2CM; ;B423;CALOLZIOCORTE;D;'ZONA PRODUTTIVA - VIA DE GASPERI';D2;LC00003163;8;Capannoni industriali;N;1;
NORD-OVEST;LOMBARDIA;LC;3097013;C2CM; ;B423;CALOLZIOCORTE;D;'ZONA PRODUTTIVA - VIA GEROLA';D3;LC00003164;8;Capannoni industriali;N;1;
NORD-OVEST;LOMBARDIA;LC;3097013;C2CM; ;B423;CALOLZIOCORTE;R;'ZONA RURALE - LAGO DI OLGINATE';R2;LC00003165;0;Non presente; ;1;
NORD-OVEST;LOMBARDIA;LC;3097013;C2CM; ;B423;CALOLZIOCORTE;R;'ZONA RURALE - MONTANA';R3;LC00003166;0;Non presente; ;1;
NORD-OVEST;LOMBARDIA;LC;3097014;C2CX; ;B763;CARENNO;B;'CENTRO EDIFICATO';B2;LC00002566;20;Abitazioni civili;N;1;
NORD-OVEST;LOMBARDIA;LC;3097014;C2CX; ;B763;CARENNO;R;'ZONA RURALE';R1;LC00002972;197;Bosco Ceduo; ;1;
NORD-OVEST;LOMBARDIA;LC;3097034;C2FE; ;D428;ERVE;B;'CENTRO EDIFICATO';B2;LC00002565;20;Abitazioni civili;N;1;
NORD-OVEST;LOMBARDIA;LC;3097034;C2FE; ;D428;ERVE;R;'ZONA RURALE';R1;LC00003016;0;Non presente; ;1;
NORD-OVEST;LOMBARDIA;LC;3097052;C2HP; ;F561;MONTE MARENZO;B;'CENTRO EDIFICATO';B2;LC00002567;20;Abitazioni civili;N;1;
NORD-OVEST;LOMBARDIA;LC;3097052;C2HP; ;F561;MONTE MARENZO;E;'ZONA PRODUTTIVA';E1;LC00003095;8;Capannoni industriali;N;1;
NORD-OVEST;LOMBARDIA;LC;3097052;C2HP; ;F561;MONTE MARENZO;R;'ZONA RURALE';R1;LC00003057;0;Non presente; ;1;
NORD-OVEST;LOMBARDIA;LC;3097086;C2MU; ;L751;VERCURAGO;B;'CENTRO EDIFICATO';B2;LC00002569;20;Abitazioni civili;N;1;
NORD-OVEST;LOMBARDIA;LC;3097086;C2MU; ;L751;VERCURAGO;R;'ZONA RURALE';R2;LC00002981;197;Bosco Ceduo; ;1;
NORD-OVEST;LOMBARDIA;LC;3097001;C4AC; ;A005;ABBADIA LARIANA;B;'CENTRO EDIFICATO';B2;LC00002532;20;Abitazioni civili;N;1;
NORD-OVEST;LOMBARDIA;LC;3097001;C4AC; ;A005;ABBADIA LARIANA;R;'ZONA RURALE';R1;LC00002932;0;Non presente; ;1;
NORD-OVEST;LOMBARDIA;LC;3097002;C4AE; ;A112;AIRUNO;B;'CENTRO EDIFICATO';B2;LC00002533;20;Abitazioni civili;N;1;
NORD-OVEST;LOMBARDIA;LC;3097002;C4AE; ;A112;AIRUNO;R;'ZONA RURALE EST';R1;LC00002975;0;Non presente; ;1;
NORD-OVEST;LOMBARDIA;LC;3097002;C4AE; ;A112;AIRUNO;R;'ZONA RURALE OVEST';R2;LC00003094;0;Non presente; ;1;
NORD-OVEST;LOMBARDIA;LC;3097003;C4AP; ;A301;ANNONE DI BRIANZA;B;'CENTRO EDIFICATO';B2;LC00002534;20;Abitazioni civili;N;1;
NORD-OVEST;LOMBARDIA;LC;3097003;C4AP; ;A301;ANNONE DI BRIANZA;R;'ZONA RURALE';R1;LC00002976;197;Bosco Ceduo; ;1;
NORD-OVEST;LOMBARDIA;LC;3097004;C4AZ; ;A594;BALLABIO;B;'CENTRO EDIFICATO';B2;LC00002535;20;Abitazioni civili;N;1;
NORD-OVEST;LOMBARDIA;LC;3097004;C4AZ; ;A594;BALLABIO;R;'ZONA RURALE';R1;LC00002977;197;Bosco Ceduo; ;1;
NORD-OVEST;LOMBARDIA;LC;3097005;C4BF; ;A683;BARZAGO;B;'INTERO TERRITORIO';B2;LC00002536;20;Abitazioni civili;N;1;
NORD-OVEST;LOMBARDIA;LC;3097005;C4BF; ;A683;BARZAGO;R;'ZONA RURALE';R1;LC00002979;0;Non presente; ;1;
NORD-OVEST;LOMBARDIA;LC;3097006;C4BG; ;A686;BARZANO`;B;'CENTRO EDIFICATO';B2;LC00002537;20;Abitazioni civili;N;1;
NORD-OVEST;LOMBARDIA;LC;3097006;C4BG; ;A686;BARZANO`;R;'ZONA RURALE';R1;LC00002980;0;Non presente; ;1;
NORD-OVEST;LOMBARDIA;LC;3097007;C4BH; ;A687;BARZIO;B;'CENTRO EDIFICATO';B2;LC00002538;20;Abitazioni civili;N;1;
NORD-OVEST;LOMBARDIA;LC;3097007;C4BH; ;A687;BARZIO;R;'RURALE';R1;LC00002973;197;Bosco Ceduo; ;1;
NORD-OVEST;LOMBARDIA;LC;3097008;C4BK; ;A745;BELLANO;B;'CENTRO EDIFICATO';B2;LC00002539;20;Abitazioni civili;N;1;
NORD-OVEST;LOMBARDIA;LC;3097008;C4BK; ;A745;BELLANO;E;'LOCALITA' VENDROGNO';E1;LC00010532;20;Abitazioni civili;N;;
NORD-OVEST;LOMBARDIA;LC;3097008;C4BK; ;A745;BELLANO;R;'ZONA RURALE';R1;LC00002982;0;Non presente; ;1;
NORD-OVEST;LOMBARDIA;LC;3097009;C4CA; ;B081;BOSISIO PARINI;B;'CENTRO EDIFICATO';B2;LC00002540;20;Abitazioni civili;N;1;
NORD-OVEST;LOMBARDIA;LC;3097009;C4CA; ;B081;BOSISIO PARINI;R;'ZONA RURALE';R1;LC00002983;0;Non presente; ;1;
NORD-OVEST;LOMBARDIA;LC;3097010;C4CJ; ;B194;BRIVIO;B;'CENTRO EDIFICATO';B2;LC00002541;20;Abitazioni civili;N;1;
NORD-OVEST;LOMBARDIA;LC;3097010;C4CJ; ;B194;BRIVIO;R;'ZONA RURALE';R1;LC00002984;0;Non presente; ;1;
NORD-OVEST;LOMBARDIA;LC;3097011;C4CP; ;B261;BULCIAGO;B;'CENTRO EDIFICATO';B2;LC00002542;20;Abitazioni civili;N;1;
NORD-OVEST;LOMBARDIA;LC;3097011;C4CP; ;B261;BULCIAGO;R;'ZONA RURALE';R1;LC00002985;197;Bosco Ceduo; ;1;
NORD-OVEST;LOMBARDIA;LC;3097012;C4CX; ;B396;CALCO;B;'CENTRO EDIFICATO';B2;LC00002543;20;Abitazioni civili;N;1;
NORD-OVEST;LOMBARDIA;LC;3097012;C4CX; ;B396;CALCO;E;'ARLATE';E1;LC00003152;20;Abitazioni civili;N;1;
NORD-OVEST;LOMBARDIA;LC;3097012;C4CX; ;B396;CALCO;R;'ZONA RURALE';R1;LC00002986;0;Non presente; ;1;
NORD-OVEST;LOMBARDIA;LC;3097015;C4DV; ;B937;CASARGO;B;'CENTRO EDIFICATO';B2;LC00002544;20;Abitazioni civili;N;1;
NORD-OVEST;LOMBARDIA;LC;3097015;C4DV; ;B937;CASARGO;R;'ZONA RURALE';R1;LC00002987;0;Non presente; ;1;
NORD-OVEST;LOMBARDIA;LC;3097016;C4DX; ;B943;CASATENOVO;B;'CENTRO EDIFICATO';B2;LC00002545;20;Abitazioni civili;N;1;
NORD-OVEST;LOMBARDIA;LC;3097016;C4DX; ;B943;CASATENOVO;D;'GALGIANA - VALAPERTA - ROGOREDO';D2;LC00003122;20;Abitazioni civili;N;1;
NORD-OVEST;LOMBARDIA;LC;3097016;C4DX; ;B943;CASATENOVO;E;'VIA DE GASPERI - CAMPO FIORENZO';E1;LC00003123;20;Abitazioni civili;N;1;
NORD-OVEST;LOMBARDIA;LC;3097016;C4DX; ;B943;CASATENOVO;R;'ZONA RURALE CENTRALE';R2;LC00003121;0;Non presente; ;1;
NORD-OVEST;LOMBARDIA;LC;3097016;C4DX; ;B943;CASATENOVO;R;'ZONA RURALE - SUD/EST';R3;LC00003120;0;Non presente; ;1;
NORD-OVEST;LOMBARDIA;LC;3097017;C4EF; ;B996;CASSAGO BRIANZA;B;'CENTRO EDIFICATO';B2;LC00002546;20;Abitazioni civili;N;1;
NORD-OVEST;LOMBARDIA;LC;3097017;C4EF; ;B996;CASSAGO BRIANZA;R;'ZONA RURALE NORD';R1;LC00002991;197;Bosco Ceduo; ;1;
NORD-OVEST;LOMBARDIA;LC;3097017;C4EF; ;B996;CASSAGO BRIANZA;R;'ZONA RURALE SUD';R2;LC00003172;197;Bosco Ceduo; ;1;
NORD-OVEST;LOMBARDIA;LC;3097018;C4EL; ;C024;CASSINA VALSASSINA;B;'CENTRO EDIFICATO';B2;LC00002547;20;Abitazioni civili;N;1;
NORD-OVEST;LOMBARDIA;LC;3097018;C4EL; ;C024;CASSINA VALSASSINA;R;'ZONA RURALE';R1;LC00002993;0;Non presente; ;1;
NORD-OVEST;LOMBARDIA;LC;3097019;C4EQ; ;C187;CASTELLO DI BRIANZA;B;'CENTRO EDIFICATO';B2;LC00002548;20;Abitazioni civili;N;1;
NORD-OVEST;LOMBARDIA;LC;3097019;C4EQ; ;C187;CASTELLO DI BRIANZA;R;'ZONA RURALE EST';R1;LC00002995;0;Non presente; ;1;
NORD-OVEST;LOMBARDIA;LC;3097019;C4EQ; ;C187;CASTELLO DI BRIANZA;R;'ZONA RURALE OVEST';R2;LC00003101;0;Non presente; ;1;
NORD-OVEST;LOMBARDIA;LC;3097020;C4FE; ;C521;CERNUSCO LOMBARDONE;B;'CENTRO EDIFICATO';B2;LC00002549;20;Abitazioni civili;N;1;
NORD-OVEST;LOMBARDIA;LC;3097020;C4FE; ;C521;CERNUSCO LOMBARDONE;R;'ZONA RURALE';R1;LC00002999;0;Non presente; ;1;
NORD-OVEST;LOMBARDIA;LC;3097021;C4FH; ;C563;CESANA BRIANZA;B;'CENTRO EDIFICATO';B2;LC00002550;20;Abitazioni civili;N;1;
NORD-OVEST;LOMBARDIA;LC;3097021;C4FH; ;C563;CESANA BRIANZA;R;'ZONA RURALE NORD';R1;LC00003062;0;Non presente; ;1;
