Quotazioni Immobiliari : Valori di Mercato - Semestre 2024/2 - elaborazione del 21-AGO-25
Area_territoriale;Regione;Prov;Comune_ISTAT;Comune_cat;Sez;Comune_amm;Comune_descrizione;Fascia;Zona;LinkZona;Cod_Tip;Descr_Tipologia;Stato;Stato_prev;Compr_min;Compr_max;Sup_NL_compr;Loc_min;Loc_max;Sup_NL_loc;
NORD-OVEST;LOMBARDIA;PV;3018110;C7AA; ;G388;PAVIA;B;B1;PV00000707;20;Abitazioni civili;OTTIMO; ;3200;4000;L;10,1;12,8;L;
NORD-OVEST;LOMBARDIA;PV;3018110;C7AA; ;G388;PAVIA;B;B1;PV00000707;20;Abitazioni civili;NORMALE;P;2000;2650;L;7,1;8;L;
NORD-OVEST;LOMBARDIA;PV;3018110;C7AA; ;G388;PAVIA;B;B1;PV00000707;21;Abitazioni di tipo economico;OTTIMO; ;3100;3700;L;9,6;12,8;L;
NORD-OVEST;LOMBARDIA;PV;3018110;C7AA; ;G388;PAVIA;B;B1;PV00000707;21;Abitazioni di tipo economico;NORMALE;P;2000;2500;L;7;8,7;L;
NORD-OVEST;LOMBARDIA;PV;3018110;C7AA; ;G388;PAVIA;B;B1;PV00000707;21;Abitazioni di tipo economico;SCADENTE; ;1050;1350;L;;;;
NORD-OVEST;LOMBARDIA;PV;3018110;C7AA; ;G388;PAVIA;B;B1;PV00000707;13;Box;NORMALE;P;1400;2100;L;6,1;8,7;L;
NORD-OVEST;LOMBARDIA;PV;3018110;C7AA; ;G388;PAVIA;B;B1;PV00000707;14;Posti auto coperti;NORMALE;P;760;950;L;;;;
NORD-OVEST;LOMBARDIA;PV;3018110;C7AA; ;G388;PAVIA;B;B1;PV00000707;15;Posti auto scoperti;NORMALE;P;570;660;L;;;;
NORD-OVEST;LOMBARDIA;PV;3018110;C7AA; ;G388;PAVIA;B;B1;PV00000707;5;Negozi;OTTIMO; ;2700;3800;L;19,1;24;L;
NORD-OVEST;LOMBARDIA;PV;3018110;C7AA; ;G388;PAVIA;B;B1;PV00000707;5;Negozi;NORMALE;P;1250;1600;L;8,7;12,7;L;
NORD-OVEST;LOMBARDIA;PV;3018110;C7AA; ;G388;PAVIA;B;B1;PV00000707;6;Uffici;OTTIMO; ;1850;2400;L;8,9;12,2;L;
NORD-OVEST;LOMBARDIA;PV;3018110;C7AA; ;G388;PAVIA;B;B1;PV00000707;6;Uffici;NORMALE;P;1200;1650;L;6;9;L;
NORD-OVEST;LOMBARDIA;PV;3018110;C7AA; ;G388;PAVIA;C;C1;PV00000709;20;Abitazioni civili;OTTIMO; ;2650;3600;L;9;11;L;
NORD-OVEST;LOMBARDIA;PV;3018110;C7AA; ;G388;PAVIA;C;C1;PV00000709;20;Abitazioni civili;NORMALE;P;1750;2200;L;6,4;8,1;L;
NORD-OVEST;LOMBARDIA;PV;3018110;C7AA; ;G388;PAVIA;C;C1;PV00000709;21;Abitazioni di tipo economico;OTTIMO; ;2250;2750;L;10;12,5;L;
NORD-OVEST;LOMBARDIA;PV;3018110;C7AA; ;G388;PAVIA;C;C1;PV00000709;21;Abitazioni di tipo economico;NORMALE;P;1600;1800;L;6,5;8,3;L;
NORD-OVEST;LOMBARDIA;PV;3018110;C7AA; ;G388;PAVIA;C;C1;PV00000709;21;Abitazioni di tipo economico;SCADENTE; ;900;1100;L;;;;
