Quotazioni Immobiliari : Informazioni di Zona OMI - Semestre 2024/2 - elaborazione del 21-AGO-25
Area_territoriale;Regione;Prov;Comune_ISTAT;Comune_cat;Sez;Comune_amm;Comune_descrizione;Fascia;Zona_Descr;Zona;LinkZona;Cod_tip_prev;Descr_tip_prev;Stato_prev;Microzona;
NORD-OVEST;LOMBARDIA;PV;3018110;C7AA; ;G388;PAVIA;B;'V.LE LIBERTA`-V.LE MATTEOTTI-V.LE GORZIA-V.LE RESISTENZA-LUNGO TICINO SFORZA-LUNGO TICINO VISCONTI';B1;PV00000707;20;Abitazioni civili;N;1;
NORD-OVEST;LOMBARDIA;PV;3018110;C7AA; ;G388;PAVIA;C;'QUARTIERE TICINELLO - STAZIONE F.S.-V.LE INDIPENDENZA-VIA FOLPERTI-VIA SAAI S.PAOLO-V.LE CAMPARI-V.LE PARTIGIANI';C1;PV00000709;20;Abitazioni civili;N;1;
NORD-OVEST;LOMBARDIA;PV;3018110;C7AA; ;G388;PAVIA;C;'BORGO TICINO - BORGO BASSO';C2;PV00000710;20;Abitazioni civili;N;1;
NORD-OVEST;LOMBARDIA;PV;3018110;C7AA; ;G388;PAVIA;D;'SAN LANFRANCO - POLICLINICO';D1;PV00000717;20;Abitazioni civili;N;2;
NORD-OVEST;LOMBARDIA;PV;3018110;C7AA; ;G388;PAVIA;D;'POLICLINICO-CITTA GIARDINO-VIALE LODI';D2;PV00000714;20;Abitazioni civili;N;3;
NORD-OVEST;LOMBARDIA;PV;3018110;C7AA; ;G388;PAVIA;D;'VIALE LODI-VIALE CREMONA';D3;PV00000711;20;Abitazioni civili;N;4;
NORD-OVEST;LOMBARDIA;PV;3018110;C7AA; ;G388;PAVIA;E;'RIONE SCALA - MIRABELLO';E1;PV00000780;20;Abitazioni civili;N;6;
NORD-OVEST;LOMBARDIA;PV;3018110;C7AA; ;G388;PAVIA;R;'ZONA  AGRICOLA PIANEGGIANTE (R.A. N.6)';R1;PV00001368;0;Non presente; ;4;
NORD-OVEST;LOMBARDIA;PV;3018001;C7AB; ;A118;ALAGNA;B;'CENTRALE';B1;PV00000050;20;Abitazioni civili;N;1;
NORD-OVEST;LOMBARDIA;PV;3018001;C7AB; ;A118;ALAGNA;R;'ZONA AGRICOLA PIANEGGIANTE (R.A. N. 5) - INTERO TERRITORIO COMUNALE';R1;PV00001910;0;Non presente;;1;
NORD-OVEST;LOMBARDIA;PV;3018002;C7AC; ;A134;ALBAREDO ARNABOLDI;B;'CENTRALE';B1;PV00000052;20;Abitazioni civili;N;1;
NORD-OVEST;LOMBARDIA;PV;3018002;C7AC; ;A134;ALBAREDO ARNABOLDI;R;'ZONA AGRICOLA PIANEGGIANTE ( R. A. N.10 ) - INTERO TERRITORIO COMUNALE';R1;PV00001488;0;Non presente; ;1;
NORD-OVEST;LOMBARDIA;PV;3018003;C7AD; ;A171;ALBONESE;B;'CENTRALE';B1;PV00000054;20;Abitazioni civili;N;1;
NORD-OVEST;LOMBARDIA;PV;3018003;C7AD; ;A171;ALBONESE;R;'ZONA  AGRICOLA  PIANEGGIANTE ( R.A. N.5 ) - INTERO TERRITORIO COMUNALE';R1;PV00001351;0;Non presente;;1;
NORD-OVEST;LOMBARDIA;PV;3018004;C7AE; ;A175;ALBUZZANO;B;'CENTRALE';B1;PV00000688;20;Abitazioni civili;N;1;
NORD-OVEST;LOMBARDIA;PV;3018004;C7AE; ;A175;ALBUZZANO;R;'ZONA AGRICOLA PIANEGGIANTE  (R.A. N. 7) - INTERO TERRITORIO COMUNALE ';R1;PV00001390;0;Non presente;;1;
NORD-OVEST;LOMBARDIA;PV;3018005;C7AF; ;A387;ARENA PO;B;'CENTRALE';B1;PV00000067;20;Abitazioni civili;N;1;
NORD-OVEST;LOMBARDIA;PV;3018005;C7AF; ;A387;ARENA PO;R;'ZONA AGRICOLA PIANEGGIANTE (R. A. N. 11) - INTERO TERRITORIO COMUNALE';R1;PV00001514;0;Non presente;;1;
NORD-OVEST;LOMBARDIA;PV;3018006;C7AH; ;A538;BADIA PAVESE;B;'CENTRALE';B1;PV00000069;20;Abitazioni civili;N;1;
NORD-OVEST;LOMBARDIA;PV;3018006;C7AH; ;A538;BADIA PAVESE;R;'ZONA AGRICOLA PIANEGGIANTE ( R. A. N. 11) - INTERO TERRITORIO COMUNALE';R1;PV00001515;0;Non presente;;1;
NORD-OVEST;LOMBARDIA;PV;3018007;C7AI; ;A550;BAGNARIA;B;'CENTRALE';B1;PV00000071;20;Abitazioni civili;N;1;
NORD-OVEST;LOMBARDIA;PV;3018007;C7AI; ;A550;BAGNARIA;R;'ZONA AGRICOLA ALTA COLLINA  R.A. 1) - INTERO TERRITORIO COMUNALE';R1;PV00001110;0;Non presente;;1;
NORD-OVEST;LOMBARDIA;PV;3018008;C7AJ; ;A634;BARBIANELLO;B;'CENTRALE';B1;PV00000073;20;Abitazioni civili;N;1;
NORD-OVEST;LOMBARDIA;PV;3018008;C7AJ; ;A634;BARBIANELLO;R;'ZONA AGRICOLA PIANEGGIANTE ( R. A. N.10 ) - INTERO TERRITORIO COMUNALE';R1;PV00001489;0;Non presente;;1;
NORD-OVEST;LOMBARDIA;PV;3018009;C7AL; ;A690;BASCAPE;B;'CENTRALE';B1;PV00000075;20;Abitazioni civili;N;1;
NORD-OVEST;LOMBARDIA;PV;3018009;C7AL; ;A690;BASCAPE;R;'ZONA AGRICOLA PIANEGGIANTE ( R.A. N. 7 ) -INTERO TERRITORIO COMUNALE';R1;PV00001391;0;Non presente;;1;
NORD-OVEST;LOMBARDIA;PV;3018011;C7AP; ;A712;BASTIDA PANCARANA;B;'CENTRALE';B1;PV00000079;20;Abitazioni civili;N;1;
NORD-OVEST;LOMBARDIA;PV;3018011;C7AP; ;A712;BASTIDA PANCARANA;R;'ZONA AGRICOLA PIANEGGIANTE ( R. A. N. 10 ) - INTERO TERRITORIO COMUNALE';R1;PV00001491;0;Non presente;;1;
NORD-OVEST;LOMBARDIA;PV;3018012;C7AQ; ;A718;BATTUDA;B;'CENTRALE';B1;PV00000081;20;Abitazioni civili;N;1;
NORD-OVEST;LOMBARDIA;PV;3018012;C7AQ; ;A718;BATTUDA;R;'ZONA AGRICOLA PIANEGGIANTE ( R.A.N. 7 ) - INTERO TERRITORIO COMUNALE';R1;PV00001392;0;Non presente;;1;
NORD-OVEST;LOMBARDIA;PV;3018013;C7AR; ;A741;BELGIOIOSO;B;'CENTRALE';B1;PV00000085;20;Abitazioni civili;N;1;
NORD-OVEST;LOMBARDIA;PV;3018013;C7AR; ;A741;BELGIOIOSO;R;'ZONA AGRICOLA PIANEGGIANTE ( R. A. N. 11 ) - INTERO TERRITORIO COMUNALE';R1;PV00001516;0;Non presente;;1;
NORD-OVEST;LOMBARDIA;PV;3018014;C7AT; ;A792;BEREGUARDO;B;'CENTRALE';B1;PV00000088;20;Abitazioni civili;N;1;
NORD-OVEST;LOMBARDIA;PV;3018014;C7AT; ;A792;BEREGUARDO;R;'ZONA  AGRICOLA PIANEGGIANTE ( R.A. N.6 ) - INTERO TERRITORIO COMUNALE';R1;PV00001366;0;Non presente;;1;
NORD-OVEST;LOMBARDIA;PV;3018015;C7AU; ;A989;BORGARELLO;B;'CENTRALE';B1;PV00000090;20;Abitazioni civili;N;1;
NORD-OVEST;LOMBARDIA;PV;3018015;C7AU; ;A989;BORGARELLO;R;'ZONA AGRICOLA PIANEGGIANTE (R.A. N.7) - INTERO TERRITORIO CPMUNALE';R1;PV00001393;0;Non presente;;1;
NORD-OVEST;LOMBARDIA;PV;3018154;C7AV; ;B014;SUARDI;B;'CENTRALE';B1;PV00000094;20;Abitazioni civili;N;1;
NORD-OVEST;LOMBARDIA;PV;3018154;C7AV; ;B014;SUARDI;R;'ZONA AGRICOLA PIANEGGIANTE (R. A. N.9) - INTERO TERRITORIO COMUNALE';R1;PV00001486;0;Non presente;;1;
NORD-OVEST;LOMBARDIA;PV;3018016;C7AW; ;B028;BORGO PRIOLO;B;'CENTRALE';B1;PV00000096;20;Abitazioni civili;N;1;
NORD-OVEST;LOMBARDIA;PV;3018016;C7AW; ;B028;BORGO PRIOLO;E;'FRAZIONE STAGHIGLIONE';E1;PV00002170;21;Abitazioni di tipo economico;N;1;
NORD-OVEST;LOMBARDIA;PV;3018016;C7AW; ;B028;BORGO PRIOLO;R;'ZONA AGRICOLA ALTA COLLINA ( R.A. N. 3 ) - INTERO TERRITORIO COMUNALE';R1;PV00001290;0;Non presente;;1;
NORD-OVEST;LOMBARDIA;PV;3018017;C7AX; ;B030;BORGORATTO MORMOROLO;B;'CENTRALE';B1;PV00000098;20;Abitazioni civili;N;1;
NORD-OVEST;LOMBARDIA;PV;3018017;C7AX; ;B030;BORGORATTO MORMOROLO;R;'ZONA  AGRICOLA  ALTA COLLINA (R.A. N.3) - INTERO TERRITORIO COMUNALE';R1;PV00001291;0;Non presente;;1;
NORD-OVEST;LOMBARDIA;PV;3018018;C7AY; ;B038;BORGO SAN SIRO;B;'CENTRALE';B1;PV00000100;20;Abitazioni civili;N;1;
NORD-OVEST;LOMBARDIA;PV;3018018;C7AY; ;B038;BORGO SAN SIRO;E;'FRAZIONE TORRAZZA';E1;PV00010185;21;Abitazioni di tipo economico;N;;
NORD-OVEST;LOMBARDIA;PV;3018018;C7AY; ;B038;BORGO SAN SIRO;R;'ZONA  AGRICOLA PIANEGGIANTE (R.A. N.5) - INTERO TERRITORIO COMUNALE';R1;PV00001352;0;Non presente;;1;
NORD-OVEST;LOMBARDIA;PV;3018019;C7AZ; ;B051;BORNASCO;B;'CENTRALE';B1;PV00000102;20;Abitazioni civili;N;1;
NORD-OVEST;LOMBARDIA;PV;3018019;C7AZ; ;B051;BORNASCO;E;'FRAZIONE GUALDRASCO';E1;PV00002171;20;Abitazioni civili;N;1;
NORD-OVEST;LOMBARDIA;PV;3018019;C7AZ; ;B051;BORNASCO;R;'ZONA AGRICOLA PIANEGGIANTE ( R.A.N. 7 ) - INTERO TERRITORIO COMUNALE';R1;PV00001394;0;Non presente;;1;
NORD-OVEST;LOMBARDIA;PV;3018020;C7BA; ;B082;BOSNASCO;B;'CENTRALE';B1;PV00000104;20;Abitazioni civili;N;1;
